Patient County,Service year,Disposition,Encounters,AnnotationCode,AnnotationDesc
Colusa,2008,Not_Defined_Elsewhere,2,,
Colusa,2008,Other,4,,
Colusa,2008,Psychiatric_Care,31,,
Colusa,2008,Residential Care facility,13,,
Colusa,2008,Routine (Home),5504,,
Colusa,2008,Skilled Nursing/Intermediate Care (SN/IC),18,,
Contra Costa,2008,Acute Care,3527,,
Contra Costa,2008,Childrens_or_Cancer,369,,
Contra Costa,2008,Critical Access Hospital,51,,
Contra Costa,2008,Died,418,,
Contra Costa,2008,Home Health Service,152,,
Contra Costa,2008,Hospice_Care,82,,
Contra Costa,2008,Invalid or Blank,54,,
Contra Costa,2008,Left Against Medical Advice,3428,,
Contra Costa,2008,Not_Defined_Elsewhere,664,,
Contra Costa,2008,Other,409,,
Contra Costa,2008,Psychiatric_Care,7622,,
Contra Costa,2008,Rehab,34,,
Contra Costa,2008,Residential Care facility,48,,
Contra Costa,2008,Routine (Home),268143,,
Contra Costa,2008,Skilled Nursing/Intermediate Care (SN/IC),1204,,
Del Norte,2008,Acute Care,298,,
Del Norte,2008,Childrens_or_Cancer,2,,
Del Norte,2008,Died,23,,
Del Norte,2008,Left Against Medical Advice,79,,
Del Norte,2008,Not_Defined_Elsewhere,2,,
Del Norte,2008,Psychiatric_Care,3,,
Del Norte,2008,Rehab,1,,
Del Norte,2008,Residential Care facility,99,,
Del Norte,2008,Routine (Home),14892,,
Del Norte,2008,Skilled Nursing/Intermediate Care (SN/IC),8,,
El Dorado,2008,Acute Care,909,,
El Dorado,2008,Childrens_or_Cancer,299,,
El Dorado,2008,Critical Access Hospital,2,,
El Dorado,2008,Died,77,,
El Dorado,2008,Home Health Service,41,,
El Dorado,2008,Hospice_Care,50,,
El Dorado,2008,Invalid or Blank,1,,
El Dorado,2008,Left Against Medical Advice,1712,,
El Dorado,2008,Not_Defined_Elsewhere,85,,
El Dorado,2008,Other,21,,
El Dorado,2008,Psychiatric_Care,154,,
El Dorado,2008,Residential Care facility,35,,
El Dorado,2008,Routine (Home),40730,,
El Dorado,2008,Skilled Nursing/Intermediate Care (SN/IC),130,,
Fresno,2008,Acute Care,2090,,
Fresno,2008,Childrens_or_Cancer,150,,
Fresno,2008,Critical Access Hospital,18,,
Fresno,2008,Died,468,,
Fresno,2008,Home Health Service,30,,
Fresno,2008,Hospice_Care,7,,
Fresno,2008,Invalid or Blank,36,,
Fresno,2008,Left Against Medical Advice,1615,,
Fresno,2008,Not_Defined_Elsewhere,269,,
Fresno,2008,Other,529,,
Fresno,2008,Psychiatric_Care,2216,,
Fresno,2008,Rehab,13,,
Fresno,2008,Residential Care facility,93,,
Fresno,2008,Routine (Home),238127,,
Fresno,2008,Skilled Nursing/Intermediate Care (SN/IC),442,,
Glenn,2008,Acute Care,266,,
Glenn,2008,Died,13,,
Glenn,2008,Home Health Service,1,,
Glenn,2008,Left Against Medical Advice,63,,
Glenn,2008,Not_Defined_Elsewhere,1,,
Glenn,2008,Other,2,,
Glenn,2008,Psychiatric_Care,69,,
Glenn,2008,Rehab,2,,
Glenn,2008,Residential Care facility,2,,
Glenn,2008,Routine (Home),6420,,
Glenn,2008,Skilled Nursing/Intermediate Care (SN/IC),56,,
Humboldt,2008,Acute Care,668,,
Humboldt,2008,Childrens_or_Cancer,201,,
Humboldt,2008,Died,109,,
Humboldt,2008,Home Health Service,1,,
Humboldt,2008,Hospice_Care,4,,
Humboldt,2008,Invalid or Blank,3,,
Humboldt,2008,Left Against Medical Advice,733,,
Humboldt,2008,Not_Defined_Elsewhere,54,,
Humboldt,2008,Other,11,,
Humboldt,2008,Psychiatric_Care,372,,
Humboldt,2008,Rehab,8,,
Humboldt,2008,Routine (Home),45216,,
Humboldt,2008,Skilled Nursing/Intermediate Care (SN/IC),229,,
Imperial,2008,Acute Care,802,,
Imperial,2008,Childrens_or_Cancer,252,,
Imperial,2008,Died,102,,
Imperial,2008,Invalid or Blank,1,,
Imperial,2008,Left Against Medical Advice,1124,,
Imperial,2008,Not_Defined_Elsewhere,64,,
Imperial,2008,Other,142,,
Imperial,2008,Psychiatric_Care,24,,
Imperial,2008,Routine (Home),68664,,
Imperial,2008,Skilled Nursing/Intermediate Care (SN/IC),81,,
Inyo,2008,Acute Care,178,,
Inyo,2008,Childrens_or_Cancer,17,,
Inyo,2008,Critical Access Hospital,5,,
Inyo,2008,Died,18,,
Inyo,2008,Home Health Service,2,,
Inyo,2008,Left Against Medical Advice,39,,
Inyo,2008,Not_Defined_Elsewhere,3,,
Inyo,2008,Other,4,,
Inyo,2008,Psychiatric_Care,1,,
Inyo,2008,Rehab,1,,
Inyo,2008,Residential Care facility,53,,
Inyo,2008,Routine (Home),6569,,
Inyo,2008,Skilled Nursing/Intermediate Care (SN/IC),17,,
Kern,2008,Acute Care,2795,,
Kern,2008,Childrens_or_Cancer,895,,
Kern,2008,Critical Access Hospital,2,,
Kern,2008,Died,505,,
Kern,2008,Home Health Service,243,,
Kern,2008,Hospice_Care,44,,
Kern,2008,Invalid or Blank,2,,
Kern,2008,Left Against Medical Advice,8653,,
Kern,2008,Not_Defined_Elsewhere,134,,
Kern,2008,Other,59,,
Kern,2008,Psychiatric_Care,103,,
Kern,2008,Rehab,16,,
Kern,2008,Residential Care facility,319,,
Kern,2008,Routine (Home),193505,,
Kern,2008,Skilled Nursing/Intermediate Care (SN/IC),227,,
Kings,2008,Acute Care,725,,
Kings,2008,Childrens_or_Cancer,271,,
Kings,2008,Critical Access Hospital,2,,
Kings,2008,Died,91,,
Kings,2008,Home Health Service,3,,
Kings,2008,Invalid or Blank,1,,
Kings,2008,Left Against Medical Advice,685,,
Kings,2008,Not_Defined_Elsewhere,262,,
Kings,2008,Other,34,,
Kings,2008,Psychiatric_Care,172,,
Kings,2008,Rehab,2,,
Kings,2008,Residential Care facility,75,,
Kings,2008,Routine (Home),45659,,
Kings,2008,Skilled Nursing/Intermediate Care (SN/IC),38,,
Lake,2008,Acute Care,1765,,
Lake,2008,Childrens_or_Cancer,14,,
Lake,2008,Critical Access Hospital,313,,
Lake,2008,Died,61,,
Lake,2008,Home Health Service,5,,
Lake,2008,Left Against Medical Advice,263,,
Lake,2008,Not_Defined_Elsewhere,5,,
Lake,2008,Other,60,,
Lake,2008,Psychiatric_Care,134,,
Lake,2008,Residential Care facility,3,,
Lake,2008,Routine (Home),29357,,
Lake,2008,Skilled Nursing/Intermediate Care (SN/IC),64,,
Lassen,2008,Acute Care,785,,
Lassen,2008,Childrens_or_Cancer,7,,
Lassen,2008,Critical Access Hospital,4,,
Lassen,2008,Died,5,,
Lassen,2008,Hospice_Care,1,,
Lassen,2008,Left Against Medical Advice,84,,
Lassen,2008,Not_Defined_Elsewhere,7,,
Lassen,2008,Other,15,,
Lassen,2008,Psychiatric_Care,47,,
Lassen,2008,Residential Care facility,31,,
Lassen,2008,Routine (Home),8969,,
Lassen,2008,Skilled Nursing/Intermediate Care (SN/IC),68,,
Los Angeles,2008,Acute Care,30014,,
Los Angeles,2008,Childrens_or_Cancer,7329,,
Los Angeles,2008,Critical Access Hospital,100,,
Los Angeles,2008,Died,3924,,
Los Angeles,2008,Home Health Service,1698,,
Los Angeles,2008,Hospice_Care,262,,
Los Angeles,2008,Invalid or Blank,200,,
Los Angeles,2008,Left Against Medical Advice,48916,,
Los Angeles,2008,Not_Defined_Elsewhere,3875,,
Los Angeles,2008,Other,2939,,
Los Angeles,2008,Psychiatric_Care,11190,,
Los Angeles,2008,Rehab,390,,
Los Angeles,2008,Residential Care facility,1330,,
Los Angeles,2008,Routine (Home),2077275,,
Los Angeles,2008,Skilled Nursing/Intermediate Care (SN/IC),5702,,
Madera,2008,Acute Care,356,,
Madera,2008,Childrens_or_Cancer,9,,
Madera,2008,Critical Access Hospital,2,,
Madera,2008,Died,60,,
Madera,2008,Home Health Service,8,,
Madera,2008,Hospice_Care,15,,
Madera,2008,Invalid or Blank,26,,
Madera,2008,Left Against Medical Advice,717,,
Madera,2008,Not_Defined_Elsewhere,31,,
Madera,2008,Other,159,,
Madera,2008,Psychiatric_Care,255,,
Madera,2008,Rehab,21,,
Madera,2008,Residential Care facility,16,,
Madera,2008,Routine (Home),46747,,
Madera,2008,Skilled Nursing/Intermediate Care (SN/IC),117,,
Marin,2008,Acute Care,482,,
Marin,2008,Childrens_or_Cancer,76,,
Marin,2008,Critical Access Hospital,9,,
Marin,2008,Died,72,,
Marin,2008,Home Health Service,7,,
Marin,2008,Hospice_Care,7,,
Marin,2008,Invalid or Blank,1,,
Marin,2008,Left Against Medical Advice,518,,
Marin,2008,Not_Defined_Elsewhere,153,,
Marin,2008,Other,88,,
Marin,2008,Psychiatric_Care,247,,
Marin,2008,Rehab,13,,
Marin,2008,Residential Care facility,4,,
Marin,2008,Routine (Home),57345,,
Marin,2008,Skilled Nursing/Intermediate Care (SN/IC),33,,
Mariposa,2008,Acute Care,264,,
Mariposa,2008,Died,12,,
Mariposa,2008,Home Health Service,6,,
Mariposa,2008,Left Against Medical Advice,85,,
Mariposa,2008,Not_Defined_Elsewhere,290,,
Mariposa,2008,Other,3,,
Mariposa,2008,Psychiatric_Care,14,,
Mariposa,2008,Residential Care facility,7,,
Mariposa,2008,Routine (Home),4446,,
Mariposa,2008,Skilled Nursing/Intermediate Care (SN/IC),21,,
Mendocino,2008,Acute Care,877,,
Mendocino,2008,Childrens_or_Cancer,156,,
Mendocino,2008,Critical Access Hospital,6,,
Mendocino,2008,Died,62,,
Mendocino,2008,Home Health Service,20,,
Mendocino,2008,Invalid or Blank,1,,
Mendocino,2008,Left Against Medical Advice,603,,
Mendocino,2008,Not_Defined_Elsewhere,27,,
Mendocino,2008,Other,10,,
Mendocino,2008,Psychiatric_Care,169,,
Mendocino,2008,Rehab,1,,
Mendocino,2008,Residential Care facility,2,,
Mendocino,2008,Routine (Home),36344,,
Mendocino,2008,Skilled Nursing/Intermediate Care (SN/IC),139,,
Merced,2008,Acute Care,1348,,
Merced,2008,Childrens_or_Cancer,8,,
Merced,2008,Critical Access Hospital,1,,
Merced,2008,Died,177,,
Merced,2008,Home Health Service,7,,
Merced,2008,Hospice_Care,25,,
Merced,2008,Invalid or Blank,4,,
Merced,2008,Left Against Medical Advice,2425,,
Merced,2008,Not_Defined_Elsewhere,11,,
Merced,2008,Other,72,,
Merced,2008,Psychiatric_Care,191,,
Merced,2008,Rehab,2,,
Merced,2008,Residential Care facility,6,,
Merced,2008,Routine (Home),72873,,
Merced,2008,Skilled Nursing/Intermediate Care (SN/IC),358,,
Modoc,2008,Acute Care,56,,
Modoc,2008,Childrens_or_Cancer,135,,
Modoc,2008,Died,8,,
Modoc,2008,Invalid or Blank,1,,
Modoc,2008,Left Against Medical Advice,39,,
Modoc,2008,Not_Defined_Elsewhere,76,,
Modoc,2008,Psychiatric_Care,2,,
Modoc,2008,Routine (Home),3011,,
Modoc,2008,Skilled Nursing/Intermediate Care (SN/IC),8,,
Mono,2008,Acute Care,50,,
Mono,2008,Left Against Medical Advice,9,,
Mono,2008,Psychiatric_Care,2,,
Mono,2008,Routine (Home),2779,,
Monterey,2008,Acute Care,522,,
Monterey,2008,Childrens_or_Cancer,39,,
Monterey,2008,Critical Access Hospital,1,,
Monterey,2008,Died,170,,
Monterey,2008,Home Health Service,32,,
Monterey,2008,Hospice_Care,9,,
Monterey,2008,Invalid or Blank,109,,
Monterey,2008,Left Against Medical Advice,1524,,
Monterey,2008,Not_Defined_Elsewhere,37,,
Monterey,2008,Other,227,,
Monterey,2008,Psychiatric_Care,120,,
Monterey,2008,Rehab,9,,
Monterey,2008,Residential Care facility,16,,
Monterey,2008,Routine (Home),109312,,
Monterey,2008,Skilled Nursing/Intermediate Care (SN/IC),121,,
Napa,2008,Acute Care,747,,
Napa,2008,Childrens_or_Cancer,21,,
Napa,2008,Critical Access Hospital,13,,
Napa,2008,Died,46,,
Napa,2008,Home Health Service,6,,
Napa,2008,Hospice_Care,4,,
Napa,2008,Invalid or Blank,3,,
Napa,2008,Left Against Medical Advice,273,,
Napa,2008,Not_Defined_Elsewhere,54,,
Napa,2008,Other,7,,
Napa,2008,Psychiatric_Care,168,,
Napa,2008,Rehab,17,,
Napa,2008,Residential Care facility,12,,
Napa,2008,Routine (Home),31042,,
Napa,2008,Skilled Nursing/Intermediate Care (SN/IC),69,,
Nevada,2008,Acute Care,305,,
Nevada,2008,Childrens_or_Cancer,7,,
Nevada,2008,Died,21,,
Nevada,2008,Home Health Service,3,,
Nevada,2008,Hospice_Care,3,,
Nevada,2008,Left Against Medical Advice,168,,
Nevada,2008,Not_Defined_Elsewhere,4,,
Nevada,2008,Other,103,,
Nevada,2008,Psychiatric_Care,69,,
Nevada,2008,Rehab,7,,
Nevada,2008,Residential Care facility,21,,
Nevada,2008,Routine (Home),23878,,
Nevada,2008,Skilled Nursing/Intermediate Care (SN/IC),40,,
Orange,2008,Acute Care,9980,,
Orange,2008,Childrens_or_Cancer,708,,
Orange,2008,Critical Access Hospital,7,,
Orange,2008,Died,1110,,
Orange,2008,Home Health Service,288,,
Orange,2008,Hospice_Care,76,,
Orange,2008,Invalid or Blank,132,,
Orange,2008,Left Against Medical Advice,11629,,
Orange,2008,Not_Defined_Elsewhere,372,,
Orange,2008,Other,138,,
Orange,2008,Psychiatric_Care,3458,,
Orange,2008,Rehab,95,,
Orange,2008,Residential Care facility,101,,
Orange,2008,Routine (Home),543832,,
Orange,2008,Skilled Nursing/Intermediate Care (SN/IC),2603,,
Out of State/Homeless,2008,Acute Care,3416,,
Out of State/Homeless,2008,Childrens_or_Cancer,649,,
Out of State/Homeless,2008,Critical Access Hospital,14,,
Out of State/Homeless,2008,Died,627,,
Out of State/Homeless,2008,Home Health Service,121,,
Out of State/Homeless,2008,Hospice_Care,16,,
Out of State/Homeless,2008,Invalid or Blank,49,,
Out of State/Homeless,2008,Left Against Medical Advice,8026,,
Out of State/Homeless,2008,Not_Defined_Elsewhere,504,,
Out of State/Homeless,2008,Other,543,,
Out of State/Homeless,2008,Psychiatric_Care,2812,,
Out of State/Homeless,2008,Rehab,59,,
Out of State/Homeless,2008,Residential Care facility,101,,
Out of State/Homeless,2008,Routine (Home),196852,,
Out of State/Homeless,2008,Skilled Nursing/Intermediate Care (SN/IC),275,,
Placer,2008,Acute Care,1339,,
Placer,2008,Childrens_or_Cancer,230,,
Placer,2008,Critical Access Hospital,17,,
Placer,2008,Died,161,,
Placer,2008,Home Health Service,14,,
Placer,2008,Hospice_Care,12,,
Placer,2008,Invalid or Blank,39,,
Placer,2008,Left Against Medical Advice,531,,
Placer,2008,Not_Defined_Elsewhere,195,,
Placer,2008,Other,236,,
Placer,2008,Psychiatric_Care,648,,
Placer,2008,Rehab,18,,
Placer,2008,Residential Care facility,22,,
Placer,2008,Routine (Home),67146,,
Placer,2008,Skilled Nursing/Intermediate Care (SN/IC),125,,
Plumas,2008,Acute Care,235,,
Plumas,2008,Childrens_or_Cancer,17,,
Plumas,2008,Critical Access Hospital,232,,
Plumas,2008,Died,18,,
Plumas,2008,Invalid or Blank,1,,
Plumas,2008,Left Against Medical Advice,40,,
Plumas,2008,Not_Defined_Elsewhere,101,,
Plumas,2008,Other,7,,
Plumas,2008,Psychiatric_Care,2,,
Plumas,2008,Residential Care facility,51,,
Plumas,2008,Routine (Home),7457,,
Plumas,2008,Skilled Nursing/Intermediate Care (SN/IC),67,,
Riverside,2008,Acute Care,5932,,
Riverside,2008,Childrens_or_Cancer,546,,
Riverside,2008,Critical Access Hospital,27,,
Riverside,2008,Died,879,,
Riverside,2008,Home Health Service,145,,
Riverside,2008,Hospice_Care,154,,
Riverside,2008,Invalid or Blank,30,,
Riverside,2008,Left Against Medical Advice,9041,,
Riverside,2008,Not_Defined_Elsewhere,1111,,
Riverside,2008,Other,735,,
Riverside,2008,Psychiatric_Care,3158,,
Riverside,2008,Rehab,108,,
Riverside,2008,Residential Care facility,238,,
Riverside,2008,Routine (Home),490078,,
Riverside,2008,Skilled Nursing/Intermediate Care (SN/IC),1762,,
Sacramento,2008,Acute Care,3145,,
Sacramento,2008,Childrens_or_Cancer,1090,,
Sacramento,2008,Critical Access Hospital,67,,
Sacramento,2008,Died,899,,
Sacramento,2008,Home Health Service,192,,
Sacramento,2008,Hospice_Care,65,,
Sacramento,2008,Invalid or Blank,104,,
Sacramento,2008,Left Against Medical Advice,6414,,
Sacramento,2008,Not_Defined_Elsewhere,727,,
Sacramento,2008,Other,294,,
Sacramento,2008,Psychiatric_Care,2841,,
Sacramento,2008,Rehab,43,,
Sacramento,2008,Residential Care facility,52,,
Sacramento,2008,Routine (Home),329374,,
Sacramento,2008,Skilled Nursing/Intermediate Care (SN/IC),1532,,
San Benito,2008,Acute Care,269,,
San Benito,2008,Childrens_or_Cancer,1,,
San Benito,2008,Died,13,,
San Benito,2008,Hospice_Care,1,,
San Benito,2008,Left Against Medical Advice,429,,
San Benito,2008,Not_Defined_Elsewhere,2,,
San Benito,2008,Other,32,,
San Benito,2008,Psychiatric_Care,36,,
San Benito,2008,Rehab,1,,
San Benito,2008,Residential Care facility,1,,
San Benito,2008,Routine (Home),15252,,
San Benito,2008,Skilled Nursing/Intermediate Care (SN/IC),12,,
San Bernardino,2008,Acute Care,7619,,
San Bernardino,2008,Childrens_or_Cancer,316,,
San Bernardino,2008,Critical Access Hospital,154,,
San Bernardino,2008,Died,1068,,
San Bernardino,2008,Home Health Service,107,,
San Bernardino,2008,Hospice_Care,38,,
San Bernardino,2008,Invalid or Blank,28,,
San Bernardino,2008,Left Against Medical Advice,12655,,
San Bernardino,2008,Not_Defined_Elsewhere,798,,
San Bernardino,2008,Other,202,,
San Bernardino,2008,Psychiatric_Care,4099,,
San Bernardino,2008,Rehab,170,,
San Bernardino,2008,Residential Care facility,423,,
San Bernardino,2008,Routine (Home),526354,,
San Bernardino,2008,Skilled Nursing/Intermediate Care (SN/IC),656,,
San Diego,2008,Acute Care,8898,,
San Diego,2008,Childrens_or_Cancer,429,,
San Diego,2008,Critical Access Hospital,3,,
San Diego,2008,Died,970,,
San Diego,2008,Home Health Service,248,,
San Diego,2008,Hospice_Care,121,,
San Diego,2008,Invalid or Blank,43,,
San Diego,2008,Left Against Medical Advice,21406,,
San Diego,2008,Not_Defined_Elsewhere,382,,
San Diego,2008,Other,650,,
San Diego,2008,Psychiatric_Care,4965,,
San Diego,2008,Rehab,99,,
San Diego,2008,Residential Care facility,649,,
San Diego,2008,Routine (Home),569356,,
San Diego,2008,Skilled Nursing/Intermediate Care (SN/IC),4091,,
San Francisco,2008,Acute Care,1098,,
San Francisco,2008,Childrens_or_Cancer,89,,
San Francisco,2008,Critical Access Hospital,13,,
San Francisco,2008,Died,214,,
San Francisco,2008,Home Health Service,87,,
San Francisco,2008,Hospice_Care,8,,
San Francisco,2008,Invalid or Blank,29,,
San Francisco,2008,Left Against Medical Advice,2832,,
San Francisco,2008,Not_Defined_Elsewhere,200,,
San Francisco,2008,Other,474,,
San Francisco,2008,Psychiatric_Care,700,,
San Francisco,2008,Rehab,31,,
San Francisco,2008,Residential Care facility,44,,
San Francisco,2008,Routine (Home),168848,,
San Francisco,2008,Skilled Nursing/Intermediate Care (SN/IC),440,,
San Joaquin,2008,Acute Care,6279,,
San Joaquin,2008,Childrens_or_Cancer,75,,
San Joaquin,2008,Critical Access Hospital,31,,
San Joaquin,2008,Died,509,,
San Joaquin,2008,Home Health Service,15,,
San Joaquin,2008,Hospice_Care,7,,
San Joaquin,2008,Invalid or Blank,46,,
San Joaquin,2008,Left Against Medical Advice,8772,,
San Joaquin,2008,Not_Defined_Elsewhere,285,,
San Joaquin,2008,Other,232,,
San Joaquin,2008,Psychiatric_Care,392,,
San Joaquin,2008,Rehab,13,,
San Joaquin,2008,Residential Care facility,20,,
San Joaquin,2008,Routine (Home),166147,,
San Joaquin,2008,Skilled Nursing/Intermediate Care (SN/IC),638,,
San Luis Obispo,2008,Acute Care,806,,
San Luis Obispo,2008,Childrens_or_Cancer,64,,
San Luis Obispo,2008,Died,125,,
San Luis Obispo,2008,Home Health Service,6,,
San Luis Obispo,2008,Hospice_Care,15,,
San Luis Obispo,2008,Invalid or Blank,22,,
San Luis Obispo,2008,Left Against Medical Advice,294,,
San Luis Obispo,2008,Not_Defined_Elsewhere,21,,
San Luis Obispo,2008,Other,2,,
San Luis Obispo,2008,Psychiatric_Care,270,,
San Luis Obispo,2008,Rehab,4,,
San Luis Obispo,2008,Residential Care facility,3,,
San Luis Obispo,2008,Routine (Home),73006,,
San Luis Obispo,2008,Skilled Nursing/Intermediate Care (SN/IC),119,,
San Mateo,2008,Acute Care,1626,,
San Mateo,2008,Childrens_or_Cancer,425,,
San Mateo,2008,Critical Access Hospital,37,,
San Mateo,2008,Died,226,,
San Mateo,2008,Home Health Service,59,,
San Mateo,2008,Hospice_Care,17,,
San Mateo,2008,Invalid or Blank,13,,
San Mateo,2008,Left Against Medical Advice,2022,,
San Mateo,2008,Not_Defined_Elsewhere,365,,
San Mateo,2008,Other,109,,
San Mateo,2008,Psychiatric_Care,952,,
San Mateo,2008,Rehab,13,,
San Mateo,2008,Residential Care facility,10,,
San Mateo,2008,Routine (Home),144685,,
San Mateo,2008,Skilled Nursing/Intermediate Care (SN/IC),255,,
Santa Barbara,2008,Acute Care,616,,
Santa Barbara,2008,Childrens_or_Cancer,11,,
Santa Barbara,2008,Died,139,,
Santa Barbara,2008,Home Health Service,2,,
Santa Barbara,2008,Hospice_Care,1,,
Santa Barbara,2008,Invalid or Blank,1,,
Santa Barbara,2008,Left Against Medical Advice,1355,,
Santa Barbara,2008,Not_Defined_Elsewhere,7,,
Santa Barbara,2008,Other,20,,
Santa Barbara,2008,Psychiatric_Care,223,,
Santa Barbara,2008,Rehab,9,,
Santa Barbara,2008,Residential Care facility,3,,
Santa Barbara,2008,Routine (Home),87372,,
Santa Barbara,2008,Skilled Nursing/Intermediate Care (SN/IC),135,,
Santa Clara,2008,Acute Care,2895,,
Santa Clara,2008,Childrens_or_Cancer,205,,
Santa Clara,2008,Critical Access Hospital,80,,
Santa Clara,2008,Died,495,,
Santa Clara,2008,Home Health Service,86,,
Santa Clara,2008,Hospice_Care,40,,
Santa Clara,2008,Invalid or Blank,26,,
Santa Clara,2008,Left Against Medical Advice,4912,,
Santa Clara,2008,Not_Defined_Elsewhere,477,,
Santa Clara,2008,Other,370,,
Santa Clara,2008,Psychiatric_Care,5505,,
Santa Clara,2008,Rehab,24,,
Santa Clara,2008,Residential Care facility,26,,
Santa Clara,2008,Routine (Home),314426,,
Santa Clara,2008,Skilled Nursing/Intermediate Care (SN/IC),945,,
Santa Cruz,2008,Acute Care,377,,
Santa Cruz,2008,Childrens_or_Cancer,34,,
Santa Cruz,2008,Died,75,,
Santa Cruz,2008,Home Health Service,7,,
Santa Cruz,2008,Hospice_Care,17,,
Santa Cruz,2008,Invalid or Blank,9,,
Santa Cruz,2008,Left Against Medical Advice,1607,,
Santa Cruz,2008,Not_Defined_Elsewhere,141,,
Santa Cruz,2008,Other,16,,
Santa Cruz,2008,Psychiatric_Care,454,,
Santa Cruz,2008,Rehab,8,,
Santa Cruz,2008,Residential Care facility,16,,
Santa Cruz,2008,Routine (Home),56005,,
Santa Cruz,2008,Skilled Nursing/Intermediate Care (SN/IC),177,,
Shasta,2008,Acute Care,346,,
Shasta,2008,Childrens_or_Cancer,75,,
Shasta,2008,Critical Access Hospital,1,,
Shasta,2008,Died,109,,
Shasta,2008,Home Health Service,28,,
Shasta,2008,Hospice_Care,9,,
Shasta,2008,Invalid or Blank,138,,
Shasta,2008,Left Against Medical Advice,827,,
Shasta,2008,Not_Defined_Elsewhere,50,,
Shasta,2008,Other,22,,
Shasta,2008,Psychiatric_Care,742,,
Shasta,2008,Rehab,21,,
Shasta,2008,Residential Care facility,2,,
Shasta,2008,Routine (Home),69360,,
Shasta,2008,Skilled Nursing/Intermediate Care (SN/IC),307,,
Sierra,2008,Acute Care,19,,
Sierra,2008,Childrens_or_Cancer,3,,
Sierra,2008,Critical Access Hospital,43,,
Sierra,2008,Home Health Service,1,,
Sierra,2008,Left Against Medical Advice,6,,
Sierra,2008,Not_Defined_Elsewhere,8,,
Sierra,2008,Psychiatric_Care,4,,
Sierra,2008,Routine (Home),529,,
Sierra,2008,Skilled Nursing/Intermediate Care (SN/IC),1,,
Siskiyou,2008,Acute Care,774,,
Siskiyou,2008,Childrens_or_Cancer,1,,
Siskiyou,2008,Died,22,,
Siskiyou,2008,Home Health Service,3,,
Siskiyou,2008,Hospice_Care,1,,
Siskiyou,2008,Invalid or Blank,1,,
Siskiyou,2008,Left Against Medical Advice,50,,
Siskiyou,2008,Not_Defined_Elsewhere,4,,
Siskiyou,2008,Other,17,,
Siskiyou,2008,Psychiatric_Care,65,,
Siskiyou,2008,Rehab,2,,
Siskiyou,2008,Residential Care facility,8,,
Siskiyou,2008,Routine (Home),15997,,
Siskiyou,2008,Skilled Nursing/Intermediate Care (SN/IC),42,,
Solano,2008,Acute Care,2303,,
