Year,County,PQI,PQIDescription,Count_ICD9,Population_ICD9,ObsRate_ICD9,RiskAdjRate_ICD9,Count_ICD10,Population_ICD10,ObsRate_ICD10,RiskAdjRate_ICD10,AnnotationCode,AnnotationDesc
2024,Amador,1,Diabetes Short-term Complications,,,,,30,"35,459",84.6,102.6,,
2005,Butte,1,Diabetes Short-term Complications,130,"165,310",78.6,76.3,,,,,,
2006,Butte,1,Diabetes Short-term Complications,126,"167,351",75.3,73.1,,,,,,
2007,Butte,1,Diabetes Short-term Complications,140,"168,208",83.2,81.2,,,,,,
2008,Butte,1,Diabetes Short-term Complications,150,"169,793",88.3,86.4,,,,,,
2009,Butte,1,Diabetes Short-term Complications,115,"170,726",67.4,66.1,,,,,,
2010,Butte,1,Diabetes Short-term Complications,143,"171,576",83.3,82.1,,,,,,
2011,Butte,1,Diabetes Short-term Complications,148,"172,643",85.7,84,,,,,,
2012,Butte,1,Diabetes Short-term Complications,170,"169,573",100.3,99.7,,,,,,
2013,Butte,1,Diabetes Short-term Complications,167,"170,817",97.8,97.3,,,,,,
2014,Butte,1,Diabetes Short-term Complications,183,"175,975",104,102.9,,,,,,
2015,Butte,1,Diabetes Short-term Complications,116,"128,928",90,90.2,,,,,,
2016,Butte,1,Diabetes Short-term Complications,,,,,201,"180,760",111.2,90.5,,
2017,Butte,1,Diabetes Short-term Complications,,,,,167,"182,932",91.3,74.4,,
2018,Butte,1,Diabetes Short-term Complications,,,,,174,"184,337",94.4,77.1,,
2019,Butte,1,Diabetes Short-term Complications,,,,,183,"174,575",104.8,85.4,,
2020,Butte,1,Diabetes Short-term Complications,,,,,172,"167,698",102.6,83.2,,
2021,Butte,1,Diabetes Short-term Complications,,,,,174,"164,365",105.9,86.2,,
2022,Butte,1,Diabetes Short-term Complications,,,,,198,"165,784",119.4,97,,
2023,Butte,1,Diabetes Short-term Complications,,,,,200,"164,973",121.2,94.6,,
2024,Butte,1,Diabetes Short-term Complications,,,,,220,"166,368",132.2,104.6,,
2005,Calaveras,1,Diabetes Short-term Complications,10,"35,913",27.8,29.6,,,,,,
2006,Calaveras,1,Diabetes Short-term Complications,14,"36,599",38.3,40.7,,,,,,
2007,Calaveras,1,Diabetes Short-term Complications,37,"36,944",100.2,107.2,,,,,,
2008,Calaveras,1,Diabetes Short-term Complications,30,"37,092",80.9,87,,,,,,
2009,Calaveras,1,Diabetes Short-term Complications,47,"36,875",127.5,138,,,,,,
2010,Calaveras,1,Diabetes Short-term Complications,40,"36,801",108.7,118.2,,,,,,
2011,Calaveras,1,Diabetes Short-term Complications,27,"36,652",73.7,80.5,,,,,,
2012,Calaveras,1,Diabetes Short-term Complications,24,"37,597",63.8,68.8,,,,,,
2013,Calaveras,1,Diabetes Short-term Complications,22,"37,646",58.4,63.3,,,,,,
2014,Calaveras,1,Diabetes Short-term Complications,25,"38,886",64.3,69.9,,,,,,
2015,Calaveras,1,Diabetes Short-term Complications,25,"28,698",87.1,94.4,,,,,,
2016,Calaveras,1,Diabetes Short-term Complications,,,,,18,"37,568",47.9,51.9,,
2017,Calaveras,1,Diabetes Short-term Complications,,,,,34,"37,872",89.8,97.5,,
2018,Calaveras,1,Diabetes Short-term Complications,,,,,20,"37,987",52.6,57.4,,
2019,Calaveras,1,Diabetes Short-term Complications,,,,,19,"38,289",49.6,54.3,,
2020,Calaveras,1,Diabetes Short-term Complications,,,,,24,"37,673",63.7,69.5,,
2021,Calaveras,1,Diabetes Short-term Complications,,,,,18,"38,312",47,51.3,,
2022,Calaveras,1,Diabetes Short-term Complications,,,,,24,"38,508",62.3,68.2,,
2023,Calaveras,1,Diabetes Short-term Complications,,,,,16,"38,409",41.7,40.6,,
2024,Calaveras,1,Diabetes Short-term Complications,,,,,18,"38,377",46.9,50.2,,
2005,Colusa,1,Diabetes Short-term Complications,5,"14,456",34.6,33.8,,,,,,
2006,Colusa,1,Diabetes Short-term Complications,2,"14,677",13.6,13.3,,,,,,
2007,Colusa,1,Diabetes Short-term Complications,4,"14,837",27,26.4,,,,,,
2008,Colusa,1,Diabetes Short-term Complications,9,"14,891",60.4,59.5,,,,,,
2009,Colusa,1,Diabetes Short-term Complications,4,"14,960",26.7,26.3,,,,,,
2010,Colusa,1,Diabetes Short-term Complications,8,"15,117",52.9,52.1,,,,,,
2011,Colusa,1,Diabetes Short-term Complications,14,"15,206",92.1,91,,,,,,
2012,Colusa,1,Diabetes Short-term Complications,7,"16,676",42,39.5,,,,,,
2013,Colusa,1,Diabetes Short-term Complications,5,"16,775",29.8,28.1,,,,,,
2014,Colusa,1,Diabetes Short-term Complications,6,"16,640",36.1,34.9,,,,,,
2015,Colusa,1,Diabetes Short-term Complications,2,"13,258",15.1,14,,,,,,
2016,Colusa,1,Diabetes Short-term Complications,,,,,10,"15,519",64.4,73.3,,
2017,Colusa,1,Diabetes Short-term Complications,,,,,6,"15,549",38.6,43.9,,
2018,Colusa,1,Diabetes Short-term Complications,,,,,6,"15,514",38.7,44.1,,
2019,Colusa,1,Diabetes Short-term Complications,,,,,3,"15,645",19.2,21.9,,
2020,Colusa,1,Diabetes Short-term Complications,,,,,8,"15,973",50.1,57.2,,
2021,Colusa,1,Diabetes Short-term Complications,,,,,17,"16,109",105.5,120.6,,
2022,Colusa,1,Diabetes Short-term Complications,,,,,7,"16,137",43.4,49.7,,
2023,Colusa,1,Diabetes Short-term Complications,,,,,9,"16,122",55.8,55.3,,
2024,Colusa,1,Diabetes Short-term Complications,,,,,10,"16,228",61.6,64.7,,
2005,Contra Costa,1,Diabetes Short-term Complications,319,"744,835",42.8,42.4,,,,,,
2006,Contra Costa,1,Diabetes Short-term Complications,336,"747,747",44.9,44.5,,,,,,
2007,Contra Costa,1,Diabetes Short-term Complications,346,"755,752",45.8,45.5,,,,,,
2008,Contra Costa,1,Diabetes Short-term Complications,373,"767,612",48.6,48.4,,,,,,
2009,Contra Costa,1,Diabetes Short-term Complications,393,"780,970",50.3,50.2,,,,,,
2010,Contra Costa,1,Diabetes Short-term Complications,380,"793,960",47.9,47.9,,,,,,
2011,Contra Costa,1,Diabetes Short-term Complications,388,"808,054",48,48.2,,,,,,
2012,Contra Costa,1,Diabetes Short-term Complications,468,"793,369",59,60.5,,,,,,
2013,Contra Costa,1,Diabetes Short-term Complications,426,"808,882",52.7,54.1,,,,,,
2014,Contra Costa,1,Diabetes Short-term Complications,422,"818,959",51.5,52.4,,,,,,
2015,Contra Costa,1,Diabetes Short-term Complications,324,"620,275",52.2,54.4,,,,,,
2016,Contra Costa,1,Diabetes Short-term Complications,,,,,418,"874,355",47.8,67,,
2017,Contra Costa,1,Diabetes Short-term Complications,,,,,409,"883,122",46.3,65,,
2018,Contra Costa,1,Diabetes Short-term Complications,,,,,453,"890,018",50.9,71.6,,
2019,Contra Costa,1,Diabetes Short-term Complications,,,,,397,"894,163",44.4,62.6,,
2020,Contra Costa,1,Diabetes Short-term Complications,,,,,409,"906,522",45.1,63.6,,
2021,Contra Costa,1,Diabetes Short-term Complications,,,,,487,"908,651",53.6,75.6,,
2022,Contra Costa,1,Diabetes Short-term Complications,,,,,484,"906,227",53.4,75.6,,
2023,Contra Costa,1,Diabetes Short-term Complications,,,,,541,"904,586",59.8,82.5,,
2024,Contra Costa,1,Diabetes Short-term Complications,,,,,593,"921,132",64.4,89.6,,
2005,Del Norte,1,Diabetes Short-term Complications,12,"22,067",54.4,53.4,,,,,,
2006,Del Norte,1,Diabetes Short-term Complications,24,"22,055",108.8,107.2,,,,,,
2007,Del Norte,1,Diabetes Short-term Complications,21,"22,315",94.1,92.8,,,,,,
2008,Del Norte,1,Diabetes Short-term Complications,33,"22,398",147.3,145.9,,,,,,
2009,Del Norte,1,Diabetes Short-term Complications,23,"22,525",102.1,101.3,,,,,,
2010,Del Norte,1,Diabetes Short-term Complications,58,"22,507",257.7,255.8,,,,,,
2011,Del Norte,1,Diabetes Short-term Complications,54,"22,606",238.9,237.6,,,,,,
2012,Del Norte,1,Diabetes Short-term Complications,61,"23,687",257.5,248.5,,,,,,
2013,Del Norte,1,Diabetes Short-term Complications,39,"23,420",166.5,161.4,,,,,,
2014,Del Norte,1,Diabetes Short-term Complications,21,"23,656",88.8,87.2,,,,,,
2015,Del Norte,1,Diabetes Short-term Complications,11,"17,650",62.3,60.1,,,,,,
2016,Del Norte,1,Diabetes Short-term Complications,,,,,11,"21,562",51,34.2,,
2017,Del Norte,1,Diabetes Short-term Complications,,,,,12,"21,395",56.1,37.8,,
2018,Del Norte,1,Diabetes Short-term Complications,,,,,13,"21,889",59.4,40,,
2019,Del Norte,1,Diabetes Short-term Complications,,,,,16,"22,021",72.7,49.1,,
2020,Del Norte,1,Diabetes Short-term Complications,,,,,13,"21,848",59.5,40.3,,
2021,Del Norte,1,Diabetes Short-term Complications,,,,,10,"21,781",45.9,31.2,,
2022,Del Norte,1,Diabetes Short-term Complications,,,,,12,"21,423",56,38.3,,
2023,Del Norte,1,Diabetes Short-term Complications,,,,,29,"21,034",137.9,96.2,,
2024,Del Norte,1,Diabetes Short-term Complications,,,,,15,"21,503",69.8,56,,
2005,El Dorado,1,Diabetes Short-term Complications,21,"132,739",15.8,16,,,,,,
2006,El Dorado,1,Diabetes Short-term Complications,55,"134,458",40.9,41.4,,,,,,
2007,El Dorado,1,Diabetes Short-term Complications,53,"135,852",39,39.7,,,,,,
2008,El Dorado,1,Diabetes Short-term Complications,59,"137,534",42.9,43.8,,,,,,
2009,El Dorado,1,Diabetes Short-term Complications,54,"139,337",38.8,39.8,,,,,,
2010,El Dorado,1,Diabetes Short-term Complications,84,"140,597",59.7,61.6,,,,,,
2011,El Dorado,1,Diabetes Short-term Complications,78,"141,461",55.1,57.1,,,,,,
2012,El Dorado,1,Diabetes Short-term Complications,78,"139,213",56,59,,,,,,
2013,El Dorado,1,Diabetes Short-term Complications,85,"140,808",60.4,63.9,,,,,,
2014,El Dorado,1,Diabetes Short-term Complications,70,"146,643",47.7,50,,,,,,
2015,El Dorado,1,Diabetes Short-term Complications,50,"106,572",46.9,50.4,,,,,,
2016,El Dorado,1,Diabetes Short-term Complications,,,,,82,"148,231",55.3,67.6,,
2017,El Dorado,1,Diabetes Short-term Complications,,,,,100,"150,815",66.3,81.4,,
2018,El Dorado,1,Diabetes Short-term Complications,,,,,107,"152,985",69.9,86.2,,
2019,El Dorado,1,Diabetes Short-term Complications,,,,,96,"154,934",62,76.7,,
2020,El Dorado,1,Diabetes Short-term Complications,,,,,102,"153,507",66.4,82.2,,
2021,El Dorado,1,Diabetes Short-term Complications,,,,,114,"155,945",73.1,90.6,,
2022,El Dorado,1,Diabetes Short-term Complications,,,,,107,"155,421",68.8,85.7,,
2023,El Dorado,1,Diabetes Short-term Complications,,,,,103,"155,106",66.4,94.5,,
2024,El Dorado,1,Diabetes Short-term Complications,,,,,103,"156,079",66,94.6,,
2005,Fresno,1,Diabetes Short-term Complications,322,"605,300",53.2,50.3,,,,,,
2006,Fresno,1,Diabetes Short-term Complications,326,"614,966",53,50.2,,,,,,
2007,Fresno,1,Diabetes Short-term Complications,299,"624,332",47.9,45.4,,,,,,
2008,Fresno,1,Diabetes Short-term Complications,368,"634,600",58,55.1,,,,,,
2009,Fresno,1,Diabetes Short-term Complications,429,"644,386",66.6,63.3,,,,,,
2010,Fresno,1,Diabetes Short-term Complications,473,"654,204",72.3,68.9,,,,,,
2011,Fresno,1,Diabetes Short-term Complications,501,"664,750",75.4,72,,,,,,
2012,Fresno,1,Diabetes Short-term Complications,501,"642,666",78,76.2,,,,,,
2013,Fresno,1,Diabetes Short-term Complications,514,"650,435",79,77.5,,,,,,
2014,Fresno,1,Diabetes Short-term Complications,607,"679,486",89.3,86.4,,,,,,
2015,Fresno,1,Diabetes Short-term Complications,467,"491,442",95,94.8,,,,,,
2016,Fresno,1,Diabetes Short-term Complications,,,,,628,"695,789",90.3,71.9,,
2017,Fresno,1,Diabetes Short-term Complications,,,,,641,"703,065",91.2,72.8,,
2018,Fresno,1,Diabetes Short-term Complications,,,,,670,"709,386",94.4,75.5,,
2019,Fresno,1,Diabetes Short-term Complications,,,,,642,"715,902",89.7,71.8,,
2020,Fresno,1,Diabetes Short-term Complications,,,,,660,"725,899",90.9,72.7,,
2021,Fresno,1,Diabetes Short-term Complications,,,,,715,"730,566",97.9,78.3,,
2022,Fresno,1,Diabetes Short-term Complications,,,,,825,"734,510",112.3,90,,
2023,Fresno,1,Diabetes Short-term Complications,,,,,720,"737,124",97.7,65.7,,
2024,Fresno,1,Diabetes Short-term Complications,,,,,756,"745,865",101.4,71.4,,
2005,Glenn,1,Diabetes Short-term Complications,6,"19,553",30.7,30.3,,,,,,
2006,Glenn,1,Diabetes Short-term Complications,13,"19,729",65.9,65,,,,,,
2007,Glenn,1,Diabetes Short-term Complications,8,"19,842",40.3,39.8,,,,,,
2008,Glenn,1,Diabetes Short-term Complications,9,"20,067",44.8,44.4,,,,,,
2009,Glenn,1,Diabetes Short-term Complications,9,"20,155",44.7,44.4,,,,,,
2010,Glenn,1,Diabetes Short-term Complications,5,"20,313",24.6,24.5,,,,,,
2011,Glenn,1,Diabetes Short-term Complications,10,"20,400",49,48.8,,,,,,
2012,Glenn,1,Diabetes Short-term Complications,7,"21,643",32.3,31.4,,,,,,
2013,Glenn,1,Diabetes Short-term Complications,4,"21,703",18.4,17.9,,,,,,
2014,Glenn,1,Diabetes Short-term Complications,6,"21,574",27.8,27.4,,,,,,
2015,Glenn,1,Diabetes Short-term Complications,6,"16,846",35.6,34.4,,,,,,
2016,Glenn,1,Diabetes Short-term Complications,,,,,14,"20,377",68.7,61.5,,
2017,Glenn,1,Diabetes Short-term Complications,,,,,15,"20,443",73.4,65.8,,
2018,Glenn,1,Diabetes Short-term Complications,,,,,12,"20,401",58.8,52.8,,
2019,Glenn,1,Diabetes Short-term Complications,,,,,10,"20,882",47.9,43,,
2020,Glenn,1,Diabetes Short-term Complications,,,,,10,"21,187",47.2,42.4,,
2021,Glenn,1,Diabetes Short-term Complications,,,,,17,"21,045",80.8,72.8,,
2022,Glenn,1,Diabetes Short-term Complications,,,,,20,"20,780",96.2,86.9,,
2023,Glenn,1,Diabetes Short-term Complications,,,,,16,"20,659",77.4,66.4,,
2024,Glenn,1,Diabetes Short-term Complications,,,,,24,"20,903",114.8,117,,
2005,Humboldt,1,Diabetes Short-term Complications,64,"102,809",62.3,60,,,,,,
2006,Humboldt,1,Diabetes Short-term Complications,48,"103,611",46.3,44.8,,,,,,
2007,Humboldt,1,Diabetes Short-term Complications,58,"103,821",55.9,54.3,,,,,,
2008,Humboldt,1,Diabetes Short-term Complications,45,"104,570",43,42,,,,,,
2009,Humboldt,1,Diabetes Short-term Complications,49,"105,478",46.5,45.5,,,,,,
2010,Humboldt,1,Diabetes Short-term Complications,64,"106,717",60,58.9,,,,,,
2011,Humboldt,1,Diabetes Short-term Complications,49,"107,013",45.8,44.9,,,,,,
2012,Humboldt,1,Diabetes Short-term Complications,74,"105,607",70.1,69.6,,,,,,
2013,Humboldt,1,Diabetes Short-term Complications,67,"105,726",63.4,63.1,,,,,,
2014,Humboldt,1,Diabetes Short-term Complications,81,"108,619",74.6,74,,,,,,
2015,Humboldt,1,Diabetes Short-term Complications,76,"79,121",96.1,96.5,,,,,,
2016,Humboldt,1,Diabetes Short-term Complications,,,,,66,"109,915",60,48.6,,
2017,Humboldt,1,Diabetes Short-term Complications,,,,,63,"110,396",57.1,46.3,,
2018,Humboldt,1,Diabetes Short-term Complications,,,,,70,"110,416",63.4,51.6,,
2019,Humboldt,1,Diabetes Short-term Complications,,,,,85,"110,113",77.2,63,,
2020,Humboldt,1,Diabetes Short-term Complications,,,,,70,"110,448",63.4,51.7,,
2021,Humboldt,1,Diabetes Short-term Complications,,,,,73,"109,377",66.7,54.8,,
2022,Humboldt,1,Diabetes Short-term Complications,,,,,63,"110,011",57.3,47,,
2023,Humboldt,1,Diabetes Short-term Complications,,,,,89,"109,146",81.5,56.1,,
2024,Humboldt,1,Diabetes Short-term Complications,,,,,94,"108,302",86.8,69.4,,
2005,Imperial,1,Diabetes Short-term Complications,44,"109,478",40.2,38.2,,,,,,
2006,Imperial,1,Diabetes Short-term Complications,42,"112,879",37.2,35.3,,,,,,
2007,Imperial,1,Diabetes Short-term Complications,56,"115,944",48.3,46,,,,,,
2008,Imperial,1,Diabetes Short-term Complications,48,"118,550",40.5,38.7,,,,,,
2009,Imperial,1,Diabetes Short-term Complications,56,"121,552",46.1,44.1,,,,,,
2010,Imperial,1,Diabetes Short-term Complications,53,"124,055",42.7,40.9,,,,,,
2011,Imperial,1,Diabetes Short-term Complications,67,"125,985",53.2,51,,,,,,
2012,Imperial,1,Diabetes Short-term Complications,79,"122,385",64.6,63,,,,,,
2013,Imperial,1,Diabetes Short-term Complications,54,"122,276",44.2,43.3,,,,,,
2014,Imperial,1,Diabetes Short-term Complications,48,"130,127",36.9,35.7,,,,,,
2015,Imperial,1,Diabetes Short-term Complications,53,"92,754",57.1,56.8,,,,,,
2016,Imperial,1,Diabetes Short-term Complications,,,,,78,"127,819",61,40.2,,
2017,Imperial,1,Diabetes Short-term Complications,,,,,79,"129,153",61.2,40.3,,
2018,Imperial,1,Diabetes Short-term Complications,,,,,73,"129,174",56.5,37.3,,
2019,Imperial,1,Diabetes Short-term Complications,,,,,66,"128,967",51.2,33.9,,
2020,Imperial,1,Diabetes Short-term Complications,,,,,94,"128,388",73.2,48.5,,
2021,Imperial,1,Diabetes Short-term Complications,,,,,114,"128,464",88.7,58.8,,
2022,Imperial,1,Diabetes Short-term Complications,,,,,117,"128,478",91.1,60.4,,
2023,Imperial,1,Diabetes Short-term Complications,,,,,91,"128,709",70.7,54.5,,
2024,Imperial,1,Diabetes Short-term Complications,,,,,85,"131,069",64.9,45.7,,
2005,Inyo,1,Diabetes Short-term Complications,7,"14,549",48.1,51,,,,,,
2006,Inyo,1,Diabetes Short-term Complications,6,"14,456",41.5,43.8,,,,,,
2007,Inyo,1,Diabetes Short-term Complications,4,"14,505",27.6,29.1,,,,,,
2008,Inyo,1,Diabetes Short-term Complications,8,"14,485",55.2,58.4,,,,,,
2009,Inyo,1,Diabetes Short-term Complications,6,"14,651",41,43.4,,,,,,
2010,Inyo,1,Diabetes Short-term Complications,9,"14,670",61.3,65.1,,,,,,
2011,Inyo,1,Diabetes Short-term Complications,5,"14,640",34.2,36.4,,,,,,
2012,Inyo,1,Diabetes Short-term Complications,13,"16,277",79.9,79.7,,,,,,
2013,Inyo,1,Diabetes Short-term Complications,4,"16,250",24.6,24.7,,,,,,
2014,Inyo,1,Diabetes Short-term Complications,9,"15,730",57.2,58.7,,,,,,
2015,Inyo,1,Diabetes Short-term Complications,6,"12,814",46.8,46,,,,,,
2016,Inyo,1,Diabetes Short-term Complications,,,,,3,"14,211",21.1,22.5,,
2017,Inyo,1,Diabetes Short-term Complications,,,,,11,"14,164",77.7,82.9,,
2018,Inyo,1,Diabetes Short-term Complications,,,,,10,"14,208",70.4,75.3,,
2019,Inyo,1,Diabetes Short-term Complications,,,,,13,"14,295",90.9,97.5,,
2020,Inyo,1,Diabetes Short-term Complications,,,,,7,"15,134",46.3,49.4,,
2021,Inyo,1,Diabetes Short-term Complications,,,,,12,"15,080",79.6,85.2,,
2022,Inyo,1,Diabetes Short-term Complications,,,,,6,"14,942",40.2,43.1,,
2023,Inyo,1,Diabetes Short-term Complications,,,,,8,"14,859",53.8,51.5,,
2024,Inyo,1,Diabetes Short-term Complications,,,,,5,"14,869",33.6,35.4,,
2005,Kern,1,Diabetes Short-term Complications,366,"526,395",69.5,65.5,,,,,,
2006,Kern,1,Diabetes Short-term Complications,316,"544,084",58.1,54.7,,,,,,
2007,Kern,1,Diabetes Short-term Complications,396,"557,795",71,66.9,,,,,,
2008,Kern,1,Diabetes Short-term Complications,485,"568,635",85.3,80.5,,,,,,
2009,Kern,1,Diabetes Short-term Complications,428,"578,043",74,70,,,,,,
2010,Kern,1,Diabetes Short-term Complications,494,"587,730",84.1,79.5,,,,,,
2011,Kern,1,Diabetes Short-term Complications,558,"597,565",93.4,88.4,,,,,,
2012,Kern,1,Diabetes Short-term Complications,547,"576,340",94.9,92,,,,,,
2013,Kern,1,Diabetes Short-term Complications,557,"583,929",95.4,92.6,,,,,,
2014,Kern,1,Diabetes Short-term Complications,565,"622,019",90.8,86.9,,,,,,
2015,Kern,1,Diabetes Short-term Complications,427,"441,243",96.8,95.3,,,,,,
2016,Kern,1,Diabetes Short-term Complications,,,,,518,"623,722",83,54.1,,
2017,Kern,1,Diabetes Short-term Complications,,,,,575,"629,153",91.4,59.6,,
2018,Kern,1,Diabetes Short-term Complications,,,,,574,"635,272",90.4,59.1,,
2019,Kern,1,Diabetes Short-term Complications,,,,,733,"640,390",114.5,75,,
2020,Kern,1,Diabetes Short-term Complications,,,,,750,"644,321",116.4,76.3,,
2021,Kern,1,Diabetes Short-term Complications,,,,,730,"651,305",112.1,73.5,,
2022,Kern,1,Diabetes Short-term Complications,,,,,774,"655,754",118,77.5,,
2023,Kern,1,Diabetes Short-term Complications,,,,,834,"654,092",127.5,97.6,,
2024,Kern,1,Diabetes Short-term Complications,,,,,767,"665,289",115.3,89.5,,
2005,Kings,1,Diabetes Short-term Complications,61,"104,744",58.2,53.3,,,,,,
2006,Kings,1,Diabetes Short-term Complications,75,"106,917",70.1,64.3,,,,,,
2007,Kings,1,Diabetes Short-term Complications,63,"108,972",57.8,53.1,,,,,,
2008,Kings,1,Diabetes Short-term Complications,36,"110,111",32.7,30.1,,,,,,
2009,Kings,1,Diabetes Short-term Complications,56,"109,913",50.9,47.1,,,,,,
2010,Kings,1,Diabetes Short-term Complications,55,"110,532",49.8,46.1,,,,,,
2011,Kings,1,Diabetes Short-term Complications,60,"111,322",53.9,50,,,,,,
2012,Kings,1,Diabetes Short-term Complications,70,"107,485",65.1,61.2,,,,,,
2013,Kings,1,Diabetes Short-term Complications,76,"107,035",71,66.9,,,,,,
2014,Kings,1,Diabetes Short-term Complications,92,"114,326",80.5,75.3,,,,,,
2015,Kings,1,Diabetes Short-term Complications,86,"78,983",108.9,103.8,,,,,,
2016,Kings,1,Diabetes Short-term Complications,,,,,104,"108,591",95.8,75,,
2017,Kings,1,Diabetes Short-term Complications,,,,,91,"108,704",83.7,65.7,,
2018,Kings,1,Diabetes Short-term Complications,,,,,99,"110,152",89.9,70.6,,
2019,Kings,1,Diabetes Short-term Complications,,,,,102,"111,551",91.4,72,,
2020,Kings,1,Diabetes Short-term Complications,,,,,93,"111,628",83.3,65.5,,
