County,Region,PQIDescription,YearsToRetirement,CtyRetirePercent,RegionRetirePercent,StRetirePercent
Calaveras,Northern and Sierra,COPD or Asthma in Older Adults (Age 40+),6-10 years,0.527,0.199,0.175
Calaveras,Northern and Sierra,COPD or Asthma in Older Adults (Age 40+),11+ years,0.221,0.481,0.642
Calaveras,Northern and Sierra,Diabetes Composite,0-2 years,0,0.084,0.041
Calaveras,Northern and Sierra,Diabetes Composite,3-5 years,0.271,0.233,0.138
Calaveras,Northern and Sierra,Diabetes Composite,6-10 years,0.566,0.201,0.173
Calaveras,Northern and Sierra,Diabetes Composite,11+ years,0.163,0.481,0.647
Calaveras,Northern and Sierra,Heart Failure,0-2 years,0,0.077,0.039
Calaveras,Northern and Sierra,Heart Failure,3-5 years,0.234,0.227,0.135
Calaveras,Northern and Sierra,Heart Failure,6-10 years,0.49,0.192,0.174
Calaveras,Northern and Sierra,Heart Failure,11+ years,0.276,0.504,0.653
Calaveras,Northern and Sierra,Hypertension,0-2 years,0,0.076,0.039
Calaveras,Northern and Sierra,Hypertension,3-5 years,0.234,0.226,0.135
Calaveras,Northern and Sierra,Hypertension,6-10 years,0.49,0.19,0.174
Calaveras,Northern and Sierra,Hypertension,11+ years,0.276,0.507,0.653
Calaveras,Northern and Sierra,Urinary Tract Infection,0-2 years,0,0.096,0.044
Calaveras,Northern and Sierra,Urinary Tract Infection,3-5 years,0.233,0.225,0.144
Calaveras,Northern and Sierra,Urinary Tract Infection,6-10 years,0.488,0.189,0.18
Calaveras,Northern and Sierra,Urinary Tract Infection,11+ years,0.279,0.488,0.632
Colusa,Northern and Sierra,Asthma in Younger Adults (Age 18-39),0-2 years,0.606,0.088,0.041
Colusa,Northern and Sierra,Asthma in Younger Adults (Age 18-39),3-5 years,0,0.227,0.141
Colusa,Northern and Sierra,Asthma in Younger Adults (Age 18-39),6-10 years,0.394,0.2,0.175
Colusa,Northern and Sierra,Asthma in Younger Adults (Age 18-39),11+ years,0,0.483,0.642
Colusa,Northern and Sierra,Community-Acquired Pneumonia,0-2 years,0.606,0.086,0.043
Colusa,Northern and Sierra,Community-Acquired Pneumonia,3-5 years,0,0.225,0.141
Colusa,Northern and Sierra,Community-Acquired Pneumonia,6-10 years,0.394,0.2,0.178
Colusa,Northern and Sierra,Community-Acquired Pneumonia,11+ years,0,0.487,0.638
Colusa,Northern and Sierra,COPD or Asthma in Older Adults (Age 40+),0-2 years,0.606,0.087,0.041
Colusa,Northern and Sierra,COPD or Asthma in Older Adults (Age 40+),3-5 years,0,0.231,0.141
Colusa,Northern and Sierra,COPD or Asthma in Older Adults (Age 40+),6-10 years,0.394,0.199,0.175
Colusa,Northern and Sierra,COPD or Asthma in Older Adults (Age 40+),11+ years,0,0.481,0.642
Colusa,Northern and Sierra,Diabetes Composite,0-2 years,0.606,0.084,0.041
Colusa,Northern and Sierra,Diabetes Composite,3-5 years,0,0.233,0.138
Colusa,Northern and Sierra,Diabetes Composite,6-10 years,0.394,0.201,0.173
Colusa,Northern and Sierra,Diabetes Composite,11+ years,0,0.481,0.647
Colusa,Northern and Sierra,Heart Failure,0-2 years,0.377,0.077,0.039
Colusa,Northern and Sierra,Heart Failure,3-5 years,0.377,0.227,0.135
Colusa,Northern and Sierra,Heart Failure,6-10 years,0.245,0.192,0.174
Colusa,Northern and Sierra,Heart Failure,11+ years,0,0.504,0.653
Colusa,Northern and Sierra,Hypertension,0-2 years,0.377,0.076,0.039
Colusa,Northern and Sierra,Hypertension,3-5 years,0.377,0.226,0.135
Colusa,Northern and Sierra,Hypertension,6-10 years,0.245,0.19,0.174
Colusa,Northern and Sierra,Hypertension,11+ years,0,0.507,0.653
Colusa,Northern and Sierra,Urinary Tract Infection,0-2 years,0.606,0.096,0.044
Colusa,Northern and Sierra,Urinary Tract Infection,3-5 years,0,0.225,0.144
Colusa,Northern and Sierra,Urinary Tract Infection,6-10 years,0.394,0.189,0.18
Colusa,Northern and Sierra,Urinary Tract Infection,11+ years,0,0.488,0.632
Contra Costa,Greater Bay Area,Asthma in Younger Adults (Age 18-39),0-2 years,0.036,0.041,0.041
Contra Costa,Greater Bay Area,Asthma in Younger Adults (Age 18-39),3-5 years,0.149,0.138,0.141
Contra Costa,Greater Bay Area,Asthma in Younger Adults (Age 18-39),6-10 years,0.185,0.169,0.175
Contra Costa,Greater Bay Area,Asthma in Younger Adults (Age 18-39),11+ years,0.63,0.652,0.642
Contra Costa,Greater Bay Area,Community-Acquired Pneumonia,0-2 years,0.039,0.042,0.043
Contra Costa,Greater Bay Area,Community-Acquired Pneumonia,3-5 years,0.15,0.137,0.141
Contra Costa,Greater Bay Area,Community-Acquired Pneumonia,6-10 years,0.174,0.168,0.178
Contra Costa,Greater Bay Area,Community-Acquired Pneumonia,11+ years,0.638,0.653,0.638
Contra Costa,Greater Bay Area,COPD or Asthma in Older Adults (Age 40+),0-2 years,0.035,0.041,0.041
Contra Costa,Greater Bay Area,COPD or Asthma in Older Adults (Age 40+),3-5 years,0.148,0.138,0.141
Contra Costa,Greater Bay Area,COPD or Asthma in Older Adults (Age 40+),6-10 years,0.186,0.17,0.175
Contra Costa,Greater Bay Area,COPD or Asthma in Older Adults (Age 40+),11+ years,0.63,0.652,0.642
Contra Costa,Greater Bay Area,Diabetes Composite,0-2 years,0.043,0.041,0.041
Contra Costa,Greater Bay Area,Diabetes Composite,3-5 years,0.147,0.138,0.138
Contra Costa,Greater Bay Area,Diabetes Composite,6-10 years,0.18,0.166,0.173
Contra Costa,Greater Bay Area,Diabetes Composite,11+ years,0.63,0.655,0.647
Contra Costa,Greater Bay Area,Heart Failure,0-2 years,0.036,0.04,0.039
Contra Costa,Greater Bay Area,Heart Failure,3-5 years,0.139,0.132,0.135
Contra Costa,Greater Bay Area,Heart Failure,6-10 years,0.189,0.173,0.174
Contra Costa,Greater Bay Area,Heart Failure,11+ years,0.636,0.655,0.653
Contra Costa,Greater Bay Area,Hypertension,0-2 years,0.036,0.04,0.039
Contra Costa,Greater Bay Area,Hypertension,3-5 years,0.14,0.134,0.135
Contra Costa,Greater Bay Area,Hypertension,6-10 years,0.191,0.174,0.174
Contra Costa,Greater Bay Area,Hypertension,11+ years,0.633,0.653,0.653
Contra Costa,Greater Bay Area,Urinary Tract Infection,0-2 years,0.04,0.046,0.044
Contra Costa,Greater Bay Area,Urinary Tract Infection,3-5 years,0.148,0.139,0.144
Contra Costa,Greater Bay Area,Urinary Tract Infection,6-10 years,0.19,0.178,0.18
Contra Costa,Greater Bay Area,Urinary Tract Infection,11+ years,0.623,0.636,0.632
Del Norte,Northern and Sierra,Asthma in Younger Adults (Age 18-39),0-2 years,0,0.088,0.041
Del Norte,Northern and Sierra,Asthma in Younger Adults (Age 18-39),3-5 years,0.351,0.227,0.141
Del Norte,Northern and Sierra,Asthma in Younger Adults (Age 18-39),6-10 years,0.182,0.2,0.175
Del Norte,Northern and Sierra,Asthma in Younger Adults (Age 18-39),11+ years,0.467,0.483,0.642
Del Norte,Northern and Sierra,Community-Acquired Pneumonia,0-2 years,0,0.086,0.043
Del Norte,Northern and Sierra,Community-Acquired Pneumonia,3-5 years,0.351,0.225,0.141
Del Norte,Northern and Sierra,Community-Acquired Pneumonia,6-10 years,0.182,0.2,0.178
Del Norte,Northern and Sierra,Community-Acquired Pneumonia,11+ years,0.467,0.487,0.638
Del Norte,Northern and Sierra,COPD or Asthma in Older Adults (Age 40+),0-2 years,0,0.087,0.041
Del Norte,Northern and Sierra,COPD or Asthma in Older Adults (Age 40+),3-5 years,0.351,0.231,0.141
Del Norte,Northern and Sierra,COPD or Asthma in Older Adults (Age 40+),6-10 years,0.182,0.199,0.175
Del Norte,Northern and Sierra,COPD or Asthma in Older Adults (Age 40+),11+ years,0.467,0.481,0.642
Del Norte,Northern and Sierra,Diabetes Composite,0-2 years,0,0.084,0.041
Del Norte,Northern and Sierra,Diabetes Composite,3-5 years,0.351,0.233,0.138
Del Norte,Northern and Sierra,Diabetes Composite,6-10 years,0.182,0.201,0.173
Del Norte,Northern and Sierra,Diabetes Composite,11+ years,0.467,0.481,0.647
Del Norte,Northern and Sierra,Heart Failure,0-2 years,0,0.077,0.039
Del Norte,Northern and Sierra,Heart Failure,3-5 years,0.291,0.227,0.135
Del Norte,Northern and Sierra,Heart Failure,6-10 years,0.151,0.192,0.174
Del Norte,Northern and Sierra,Heart Failure,11+ years,0.558,0.504,0.653
Del Norte,Northern and Sierra,Hypertension,0-2 years,0,0.076,0.039
Del Norte,Northern and Sierra,Hypertension,3-5 years,0.291,0.226,0.135
Del Norte,Northern and Sierra,Hypertension,6-10 years,0.151,0.19,0.174
Del Norte,Northern and Sierra,Hypertension,11+ years,0.558,0.507,0.653
Del Norte,Northern and Sierra,Urinary Tract Infection,0-2 years,0.132,0.096,0.044
Del Norte,Northern and Sierra,Urinary Tract Infection,3-5 years,0.304,0.225,0.144
Del Norte,Northern and Sierra,Urinary Tract Infection,6-10 years,0.158,0.189,0.18
Del Norte,Northern and Sierra,Urinary Tract Infection,11+ years,0.405,0.488,0.632
El Dorado,Sacramento Area,Asthma in Younger Adults (Age 18-39),0-2 years,0.094,0.048,0.041
El Dorado,Sacramento Area,Asthma in Younger Adults (Age 18-39),3-5 years,0.209,0.122,0.141
El Dorado,Sacramento Area,Asthma in Younger Adults (Age 18-39),6-10 years,0.242,0.171,0.175
El Dorado,Sacramento Area,Asthma in Younger Adults (Age 18-39),11+ years,0.456,0.659,0.642
El Dorado,Sacramento Area,Community-Acquired Pneumonia,0-2 years,0.102,0.046,0.043
El Dorado,Sacramento Area,Community-Acquired Pneumonia,3-5 years,0.147,0.12,0.141
El Dorado,Sacramento Area,Community-Acquired Pneumonia,6-10 years,0.252,0.165,0.178
El Dorado,Sacramento Area,Community-Acquired Pneumonia,11+ years,0.499,0.668,0.638
El Dorado,Sacramento Area,COPD or Asthma in Older Adults (Age 40+),0-2 years,0.092,0.049,0.041
El Dorado,Sacramento Area,COPD or Asthma in Older Adults (Age 40+),3-5 years,0.206,0.122,0.141
El Dorado,Sacramento Area,COPD or Asthma in Older Adults (Age 40+),6-10 years,0.252,0.171,0.175
El Dorado,Sacramento Area,COPD or Asthma in Older Adults (Age 40+),11+ years,0.45,0.658,0.642
El Dorado,Sacramento Area,Diabetes Composite,0-2 years,0.072,0.047,0.041
El Dorado,Sacramento Area,Diabetes Composite,3-5 years,0.164,0.115,0.138
El Dorado,Sacramento Area,Diabetes Composite,6-10 years,0.239,0.169,0.173
El Dorado,Sacramento Area,Diabetes Composite,11+ years,0.524,0.67,0.647
El Dorado,Sacramento Area,Heart Failure,0-2 years,0.089,0.043,0.039
El Dorado,Sacramento Area,Heart Failure,3-5 years,0.149,0.114,0.135
El Dorado,Sacramento Area,Heart Failure,6-10 years,0.257,0.168,0.174
El Dorado,Sacramento Area,Heart Failure,11+ years,0.505,0.675,0.653
El Dorado,Sacramento Area,Hypertension,0-2 years,0.072,0.043,0.039
El Dorado,Sacramento Area,Hypertension,3-5 years,0.152,0.114,0.135
El Dorado,Sacramento Area,Hypertension,6-10 years,0.252,0.167,0.174
El Dorado,Sacramento Area,Hypertension,11+ years,0.524,0.677,0.653
El Dorado,Sacramento Area,Urinary Tract Infection,0-2 years,0.08,0.054,0.044
El Dorado,Sacramento Area,Urinary Tract Infection,3-5 years,0.167,0.122,0.144
El Dorado,Sacramento Area,Urinary Tract Infection,6-10 years,0.236,0.169,0.18
El Dorado,Sacramento Area,Urinary Tract Infection,11+ years,0.516,0.655,0.632
Fresno,San Joaquin Valley,Asthma in Younger Adults (Age 18-39),0-2 years,0.044,0.034,0.041
Fresno,San Joaquin Valley,Asthma in Younger Adults (Age 18-39),3-5 years,0.148,0.137,0.141
Fresno,San Joaquin Valley,Asthma in Younger Adults (Age 18-39),6-10 years,0.173,0.191,0.175
Fresno,San Joaquin Valley,Asthma in Younger Adults (Age 18-39),11+ years,0.634,0.639,0.642
Fresno,San Joaquin Valley,Community-Acquired Pneumonia,0-2 years,0.043,0.032,0.043
Fresno,San Joaquin Valley,Community-Acquired Pneumonia,3-5 years,0.15,0.135,0.141
Fresno,San Joaquin Valley,Community-Acquired Pneumonia,6-10 years,0.168,0.191,0.178
Fresno,San Joaquin Valley,Community-Acquired Pneumonia,11+ years,0.639,0.641,0.638
Fresno,San Joaquin Valley,COPD or Asthma in Older Adults (Age 40+),0-2 years,0.044,0.034,0.041
Fresno,San Joaquin Valley,COPD or Asthma in Older Adults (Age 40+),3-5 years,0.147,0.137,0.141
Fresno,San Joaquin Valley,COPD or Asthma in Older Adults (Age 40+),6-10 years,0.172,0.19,0.175
Fresno,San Joaquin Valley,COPD or Asthma in Older Adults (Age 40+),11+ years,0.637,0.639,0.642
Fresno,San Joaquin Valley,Diabetes Composite,0-2 years,0.039,0.032,0.041
Fresno,San Joaquin Valley,Diabetes Composite,3-5 years,0.14,0.131,0.138
Fresno,San Joaquin Valley,Diabetes Composite,6-10 years,0.168,0.188,0.173
Fresno,San Joaquin Valley,Diabetes Composite,11+ years,0.653,0.648,0.647
Fresno,San Joaquin Valley,Heart Failure,0-2 years,0.04,0.029,0.039
Fresno,San Joaquin Valley,Heart Failure,3-5 years,0.138,0.127,0.135
Fresno,San Joaquin Valley,Heart Failure,6-10 years,0.158,0.18,0.174
Fresno,San Joaquin Valley,Heart Failure,11+ years,0.664,0.664,0.653
Fresno,San Joaquin Valley,Hypertension,0-2 years,0.038,0.031,0.039
Fresno,San Joaquin Valley,Hypertension,3-5 years,0.139,0.126,0.135
Fresno,San Joaquin Valley,Hypertension,6-10 years,0.156,0.177,0.174
Fresno,San Joaquin Valley,Hypertension,11+ years,0.666,0.666,0.653
Fresno,San Joaquin Valley,Urinary Tract Infection,0-2 years,0.039,0.035,0.044
Fresno,San Joaquin Valley,Urinary Tract Infection,3-5 years,0.149,0.137,0.144
Fresno,San Joaquin Valley,Urinary Tract Infection,6-10 years,0.177,0.191,0.18
Fresno,San Joaquin Valley,Urinary Tract Infection,11+ years,0.635,0.636,0.632
Glenn,Northern and Sierra,Asthma in Younger Adults (Age 18-39),0-2 years,0,0.088,0.041
Glenn,Northern and Sierra,Asthma in Younger Adults (Age 18-39),3-5 years,0,0.227,0.141
Glenn,Northern and Sierra,Asthma in Younger Adults (Age 18-39),6-10 years,0.5,0.2,0.175
Glenn,Northern and Sierra,Asthma in Younger Adults (Age 18-39),11+ years,0.5,0.483,0.642
Glenn,Northern and Sierra,Community-Acquired Pneumonia,0-2 years,0,0.086,0.043
Glenn,Northern and Sierra,Community-Acquired Pneumonia,3-5 years,0,0.225,0.141
Glenn,Northern and Sierra,Community-Acquired Pneumonia,6-10 years,0.5,0.2,0.178
Glenn,Northern and Sierra,Community-Acquired Pneumonia,11+ years,0.5,0.487,0.638
Glenn,Northern and Sierra,COPD or Asthma in Older Adults (Age 40+),0-2 years,0,0.087,0.041
Glenn,Northern and Sierra,COPD or Asthma in Older Adults (Age 40+),3-5 years,0,0.231,0.141
Glenn,Northern and Sierra,COPD or Asthma in Older Adults (Age 40+),6-10 years,0.5,0.199,0.175
Glenn,Northern and Sierra,COPD or Asthma in Older Adults (Age 40+),11+ years,0.5,0.481,0.642
Glenn,Northern and Sierra,Diabetes Composite,0-2 years,0,0.084,0.041
Glenn,Northern and Sierra,Diabetes Composite,3-5 years,0,0.233,0.138
Glenn,Northern and Sierra,Diabetes Composite,6-10 years,0.5,0.201,0.173
Glenn,Northern and Sierra,Diabetes Composite,11+ years,0.5,0.481,0.647
Glenn,Northern and Sierra,Heart Failure,0-2 years,0,0.077,0.039
Glenn,Northern and Sierra,Heart Failure,3-5 years,0,0.227,0.135
Glenn,Northern and Sierra,Heart Failure,6-10 years,0.5,0.192,0.174
Glenn,Northern and Sierra,Heart Failure,11+ years,0.5,0.504,0.653
Glenn,Northern and Sierra,Hypertension,0-2 years,0,0.076,0.039
Glenn,Northern and Sierra,Hypertension,3-5 years,0,0.226,0.135
Glenn,Northern and Sierra,Hypertension,6-10 years,0.5,0.19,0.174
Glenn,Northern and Sierra,Hypertension,11+ years,0.5,0.507,0.653
Glenn,Northern and Sierra,Urinary Tract Infection,0-2 years,0,0.096,0.044
Glenn,Northern and Sierra,Urinary Tract Infection,3-5 years,0,0.225,0.144
Glenn,Northern and Sierra,Urinary Tract Infection,6-10 years,0.5,0.189,0.18
Glenn,Northern and Sierra,Urinary Tract Infection,11+ years,0.5,0.488,0.632
Humboldt,Northern and Sierra,Asthma in Younger Adults (Age 18-39),0-2 years,0.104,0.088,0.041
Humboldt,Northern and Sierra,Asthma in Younger Adults (Age 18-39),3-5 years,0.278,0.227,0.141
Humboldt,Northern and Sierra,Asthma in Younger Adults (Age 18-39),6-10 years,0.204,0.2,0.175
Humboldt,Northern and Sierra,Asthma in Younger Adults (Age 18-39),11+ years,0.414,0.483,0.642
Humboldt,Northern and Sierra,Community-Acquired Pneumonia,0-2 years,0.103,0.086,0.043
Humboldt,Northern and Sierra,Community-Acquired Pneumonia,3-5 years,0.278,0.225,0.141
Humboldt,Northern and Sierra,Community-Acquired Pneumonia,6-10 years,0.204,0.2,0.178
Humboldt,Northern and Sierra,Community-Acquired Pneumonia,11+ years,0.415,0.487,0.638
Humboldt,Northern and Sierra,COPD or Asthma in Older Adults (Age 40+),0-2 years,0.1,0.087,0.041
Humboldt,Northern and Sierra,COPD or Asthma in Older Adults (Age 40+),3-5 years,0.289,0.231,0.141
Humboldt,Northern and Sierra,COPD or Asthma in Older Adults (Age 40+),6-10 years,0.198,0.199,0.175
Humboldt,Northern and Sierra,COPD or Asthma in Older Adults (Age 40+),11+ years,0.413,0.481,0.642
Humboldt,Northern and Sierra,Diabetes Composite,0-2 years,0.101,0.084,0.041
Humboldt,Northern and Sierra,Diabetes Composite,3-5 years,0.272,0.233,0.138
Humboldt,Northern and Sierra,Diabetes Composite,6-10 years,0.221,0.201,0.173
Humboldt,Northern and Sierra,Diabetes Composite,11+ years,0.407,0.481,0.647
Humboldt,Northern and Sierra,Heart Failure,0-2 years,0.083,0.077,0.039
Humboldt,Northern and Sierra,Heart Failure,3-5 years,0.248,0.227,0.135
Humboldt,Northern and Sierra,Heart Failure,6-10 years,0.238,0.192,0.174
Humboldt,Northern and Sierra,Heart Failure,11+ years,0.43,0.504,0.653
Humboldt,Northern and Sierra,Hypertension,0-2 years,0.083,0.076,0.039
Humboldt,Northern and Sierra,Hypertension,3-5 years,0.248,0.226,0.135
Humboldt,Northern and Sierra,Hypertension,6-10 years,0.238,0.19,0.174
Humboldt,Northern and Sierra,Hypertension,11+ years,0.43,0.507,0.653
Humboldt,Northern and Sierra,Urinary Tract Infection,0-2 years,0.116,0.096,0.044
Humboldt,Northern and Sierra,Urinary Tract Infection,3-5 years,0.28,0.225,0.144
Humboldt,Northern and Sierra,Urinary Tract Infection,6-10 years,0.215,0.189,0.18
Humboldt,Northern and Sierra,Urinary Tract Infection,11+ years,0.389,0.488,0.632
Imperial,San Diego Area,Asthma in Younger Adults (Age 18-39),0-2 years,0,0.049,0.041
Imperial,San Diego Area,Asthma in Younger Adults (Age 18-39),3-5 years,0.136,0.139,0.141
Imperial,San Diego Area,Asthma in Younger Adults (Age 18-39),6-10 years,0.299,0.175,0.175
Imperial,San Diego Area,Asthma in Younger Adults (Age 18-39),11+ years,0.565,0.636,0.642
Imperial,San Diego Area,Community-Acquired Pneumonia,0-2 years,0,0.051,0.043
