"Column Name","Label"
"S1810_C03_010E","Percent with a disability!!Estimate!!With a self-care difficulty"
"S1810_C03_010M","Percent with a disability!!Margin of Error!!With a self-care difficulty"
"S1810_C01_011E","Total!!Estimate!!Population 18 to 64 years"
"S1810_C01_011M","Total!!Margin of Error!!Population 18 to 64 years"
"S1810_C02_011E","With a disability!!Estimate!!Population 18 to 64 years"
"S1810_C02_011M","With a disability!!Margin of Error!!Population 18 to 64 years"
"S1810_C03_011E","Percent with a disability!!Estimate!!Population 18 to 64 years"
"S1810_C03_011M","Percent with a disability!!Margin of Error!!Population 18 to 64 years"
"S1810_C01_012E","Total!!Estimate!!With a hearing difficulty"
"S1810_C01_012M","Total!!Margin of Error!!With a hearing difficulty"
"S1810_C02_012E","With a disability!!Estimate!!With a hearing difficulty"
"S1810_C02_012M","With a disability!!Margin of Error!!With a hearing difficulty"
"S1810_C03_012E","Percent with a disability!!Estimate!!With a hearing difficulty"
"S1810_C03_012M","Percent with a disability!!Margin of Error!!With a hearing difficulty"
"S1810_C01_013E","Total!!Estimate!!With a vision difficulty"
"S1810_C01_013M","Total!!Margin of Error!!With a vision difficulty"
"S1810_C02_013E","With a disability!!Estimate!!With a vision difficulty"
"S1810_C02_013M","With a disability!!Margin of Error!!With a vision difficulty"
"S1810_C03_013E","Percent with a disability!!Estimate!!With a vision difficulty"
"S1810_C03_013M","Percent with a disability!!Margin of Error!!With a vision difficulty"
"S1810_C01_014E","Total!!Estimate!!With a cognitive difficulty"
"S1810_C01_014M","Total!!Margin of Error!!With a cognitive difficulty"
"S1810_C02_014E","With a disability!!Estimate!!With a cognitive difficulty"
"S1810_C02_014M","With a disability!!Margin of Error!!With a cognitive difficulty"
"S1810_C03_014E","Percent with a disability!!Estimate!!With a cognitive difficulty"
"S1810_C03_014M","Percent with a disability!!Margin of Error!!With a cognitive difficulty"
"S1810_C01_015E","Total!!Estimate!!With an ambulatory difficulty"
"S1810_C01_015M","Total!!Margin of Error!!With an ambulatory difficulty"
"S1810_C02_015E","With a disability!!Estimate!!With an ambulatory difficulty"
"S1810_C02_015M","With a disability!!Margin of Error!!With an ambulatory difficulty"
"S1810_C03_015E","Percent with a disability!!Estimate!!With an ambulatory difficulty"
"S1810_C03_015M","Percent with a disability!!Margin of Error!!With an ambulatory difficulty"
"S1810_C01_016E","Total!!Estimate!!With a self-care difficulty"
"S1810_C01_016M","Total!!Margin of Error!!With a self-care difficulty"
"S1810_C02_016E","With a disability!!Estimate!!With a self-care difficulty"
"S1810_C02_016M","With a disability!!Margin of Error!!With a self-care difficulty"
"S1810_C03_016E","Percent with a disability!!Estimate!!With a self-care difficulty"
"S1810_C03_016M","Percent with a disability!!Margin of Error!!With a self-care difficulty"
"S1810_C01_017E","Total!!Estimate!!With an independent living difficulty"
"S1810_C01_017M","Total!!Margin of Error!!With an independent living difficulty"
"S1810_C02_017E","With a disability!!Estimate!!With an independent living difficulty"
"S1810_C02_017M","With a disability!!Margin of Error!!With an independent living difficulty"
"S1810_C03_017E","Percent with a disability!!Estimate!!With an independent living difficulty"
"S1810_C03_017M","Percent with a disability!!Margin of Error!!With an independent living difficulty"
"S1810_C01_018E","Total!!Estimate!!Population 65 years and over"
"S1810_C01_018M","Total!!Margin of Error!!Population 65 years and over"
"S1810_C02_018E","With a disability!!Estimate!!Population 65 years and over"
"S1810_C02_018M","With a disability!!Margin of Error!!Population 65 years and over"
"S1810_C03_018E","Percent with a disability!!Estimate!!Population 65 years and over"
"S1810_C03_018M","Percent with a disability!!Margin of Error!!Population 65 years and over"
"S1810_C01_019E","Total!!Estimate!!With a hearing difficulty"
"S1810_C01_019M","Total!!Margin of Error!!With a hearing difficulty"
"S1810_C02_019E","With a disability!!Estimate!!With a hearing difficulty"
"S1810_C02_019M","With a disability!!Margin of Error!!With a hearing difficulty"
"S1810_C03_019E","Percent with a disability!!Estimate!!With a hearing difficulty"
"S1810_C03_019M","Percent with a disability!!Margin of Error!!With a hearing difficulty"
"S1810_C01_020E","Total!!Estimate!!With a vision difficulty"
"S1810_C01_020M","Total!!Margin of Error!!With a vision difficulty"
"S1810_C02_020E","With a disability!!Estimate!!With a vision difficulty"
"S1810_C02_020M","With a disability!!Margin of Error!!With a vision difficulty"
"S1810_C03_020E","Percent with a disability!!Estimate!!With a vision difficulty"
"S1810_C03_020M","Percent with a disability!!Margin of Error!!With a vision difficulty"
"S1810_C01_021E","Total!!Estimate!!With a cognitive difficulty"
"S1810_C01_021M","Total!!Margin of Error!!With a cognitive difficulty"
"S1810_C02_021E","With a disability!!Estimate!!With a cognitive difficulty"
"S1810_C02_021M","With a disability!!Margin of Error!!With a cognitive difficulty"
"S1810_C03_021E","Percent with a disability!!Estimate!!With a cognitive difficulty"
"S1810_C03_021M","Percent with a disability!!Margin of Error!!With a cognitive difficulty"
"S1810_C01_022E","Total!!Estimate!!With an ambulatory difficulty"
"S1810_C01_022M","Total!!Margin of Error!!With an ambulatory difficulty"
"S1810_C02_022E","With a disability!!Estimate!!With an ambulatory difficulty"
"S1810_C02_022M","With a disability!!Margin of Error!!With an ambulatory difficulty"
"S1810_C03_022E","Percent with a disability!!Estimate!!With an ambulatory difficulty"
"S1810_C03_022M","Percent with a disability!!Margin of Error!!With an ambulatory difficulty"
"S1810_C01_023E","Total!!Estimate!!With a self-care difficulty"
"S1810_C01_023M","Total!!Margin of Error!!With a self-care difficulty"
"S1810_C02_023E","With a disability!!Estimate!!With a self-care difficulty"
"S1810_C02_023M","With a disability!!Margin of Error!!With a self-care difficulty"
"S1810_C03_023E","Percent with a disability!!Estimate!!With a self-care difficulty"
"S1810_C03_023M","Percent with a disability!!Margin of Error!!With a self-care difficulty"
"S1810_C01_024E","Total!!Estimate!!With an independent living difficulty"
"S1810_C01_024M","Total!!Margin of Error!!With an independent living difficulty"
"S1810_C02_024E","With a disability!!Estimate!!With an independent living difficulty"
"S1810_C02_024M","With a disability!!Margin of Error!!With an independent living difficulty"
"S1810_C03_024E","Percent with a disability!!Estimate!!With an independent living difficulty"
"S1810_C03_024M","Percent with a disability!!Margin of Error!!With an independent living difficulty"
"S1810_C01_025E","Total!!Estimate!!SEX!!Male"
"S1810_C01_025M","Total!!Margin of Error!!SEX!!Male"
"S1810_C02_025E","With a disability!!Estimate!!SEX!!Male"
"S1810_C02_025M","With a disability!!Margin of Error!!SEX!!Male"
"S1810_C03_025E","Percent with a disability!!Estimate!!SEX!!Male"
"S1810_C03_025M","Percent with a disability!!Margin of Error!!SEX!!Male"
"S1810_C01_026E","Total!!Estimate!!SEX!!Female"
"S1810_C01_026M","Total!!Margin of Error!!SEX!!Female"
"S1810_C02_026E","With a disability!!Estimate!!SEX!!Female"
"S1810_C02_026M","With a disability!!Margin of Error!!SEX!!Female"
"S1810_C03_026E","Percent with a disability!!Estimate!!SEX!!Female"
"S1810_C03_026M","Percent with a disability!!Margin of Error!!SEX!!Female"
"S1810_C01_027E","Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One Race"
"S1810_C01_027M","Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One Race"
"S1810_C02_027E","With a disability!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One Race"
"S1810_C02_027M","With a disability!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One Race"
"S1810_C03_027E","Percent with a disability!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One Race"
"S1810_C03_027M","Percent with a disability!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One Race"
"S1810_C01_028E","Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One Race!!White alone"
"S1810_C01_028M","Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One Race!!White alone"
"S1810_C02_028E","With a disability!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One Race!!White alone"
"S1810_C02_028M","With a disability!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One Race!!White alone"
"S1810_C03_028E","Percent with a disability!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One Race!!White alone"
"S1810_C03_028M","Percent with a disability!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One Race!!White alone"
"S1810_C01_029E","Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One Race!!Black or African American alone"
"S1810_C01_029M","Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One Race!!Black or African American alone"
"S1810_C02_029E","With a disability!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One Race!!Black or African American alone"
"S1810_C02_029M","With a disability!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One Race!!Black or African American alone"
"S1810_C03_029E","Percent with a disability!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One Race!!Black or African American alone"
"S1810_C03_029M","Percent with a disability!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One Race!!Black or African American alone"
"S1810_C01_030E","Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One Race!!American Indian and Alaska Native alone"
"S1810_C01_030M","Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One Race!!American Indian and Alaska Native alone"
"S1810_C02_030E","With a disability!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One Race!!American Indian and Alaska Native alone"
"S1810_C02_030M","With a disability!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One Race!!American Indian and Alaska Native alone"
"S1810_C03_030E","Percent with a disability!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One Race!!American Indian and Alaska Native alone"
"S1810_C03_030M","Percent with a disability!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One Race!!American Indian and Alaska Native alone"
"S1810_C01_031E","Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One Race!!Asian alone"
"S1810_C01_031M","Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One Race!!Asian alone"
"S1810_C02_031E","With a disability!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One Race!!Asian alone"
"S1810_C02_031M","With a disability!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One Race!!Asian alone"
"S1810_C03_031E","Percent with a disability!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One Race!!Asian alone"
"S1810_C03_031M","Percent with a disability!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One Race!!Asian alone"
"S1810_C01_032E","Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One Race!!Native Hawaiian and Other Pacific Islander alone"
"S1810_C01_032M","Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One Race!!Native Hawaiian and Other Pacific Islander alone"
"S1810_C02_032E","With a disability!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One Race!!Native Hawaiian and Other Pacific Islander alone"
"S1810_C02_032M","With a disability!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One Race!!Native Hawaiian and Other Pacific Islander alone"
"S1810_C03_032E","Percent with a disability!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One Race!!Native Hawaiian and Other Pacific Islander alone"
"S1810_C03_032M","Percent with a disability!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One Race!!Native Hawaiian and Other Pacific Islander alone"
"S1810_C01_033E","Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One Race!!Some other race alone"
"S1810_C01_033M","Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One Race!!Some other race alone"
"S1810_C02_033E","With a disability!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One Race!!Some other race alone"
"S1810_C02_033M","With a disability!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One Race!!Some other race alone"
"S1810_C03_033E","Percent with a disability!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One Race!!Some other race alone"
"S1810_C03_033M","Percent with a disability!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One Race!!Some other race alone"
"S1810_C01_034E","Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races"
"S1810_C01_034M","Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races"
"S1810_C02_034E","With a disability!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races"
"S1810_C02_034M","With a disability!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races"
"S1810_C03_034E","Percent with a disability!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races"
"S1810_C03_034M","Percent with a disability!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races"
"S1810_C01_035E","Total!!Estimate!!White alone, not Hispanic or Latino"
"S1810_C01_035M","Total!!Margin of Error!!White alone, not Hispanic or Latino"
"S1810_C02_035E","With a disability!!Estimate!!White alone, not Hispanic or Latino"
"S1810_C02_035M","With a disability!!Margin of Error!!White alone, not Hispanic or Latino"
"S1810_C03_035E","Percent with a disability!!Estimate!!White alone, not Hispanic or Latino"
"S1810_C03_035M","Percent with a disability!!Margin of Error!!White alone, not Hispanic or Latino"
"S1810_C01_036E","Total!!Estimate!!Hispanic or Latino (of any race)"
"S1810_C01_036M","Total!!Margin of Error!!Hispanic or Latino (of any race)"
"S1810_C02_036E","With a disability!!Estimate!!Hispanic or Latino (of any race)"
"S1810_C02_036M","With a disability!!Margin of Error!!Hispanic or Latino (of any race)"
"S1810_C03_036E","Percent with a disability!!Estimate!!Hispanic or Latino (of any race)"
"S1810_C03_036M","Percent with a disability!!Margin of Error!!Hispanic or Latino (of any race)"
"S1810_C01_037E","Total!!Estimate!!PERCENT IMPUTED!!Disability status"
"S1810_C01_037M","Total!!Margin of Error!!PERCENT IMPUTED!!Disability status"
"S1810_C02_037E","With a disability!!Estimate!!PERCENT IMPUTED!!Disability status"
"S1810_C02_037M","With a disability!!Margin of Error!!PERCENT IMPUTED!!Disability status"
"S1810_C03_037E","Percent with a disability!!Estimate!!PERCENT IMPUTED!!Disability status"
"S1810_C03_037M","Percent with a disability!!Margin of Error!!PERCENT IMPUTED!!Disability status"
"S1810_C01_038E","Total!!Estimate!!PERCENT IMPUTED!!Hearing difficulty"
"S1810_C01_038M","Total!!Margin of Error!!PERCENT IMPUTED!!Hearing difficulty"
"S1810_C02_038E","With a disability!!Estimate!!PERCENT IMPUTED!!Hearing difficulty"
"S1810_C02_038M","With a disability!!Margin of Error!!PERCENT IMPUTED!!Hearing difficulty"
"S1810_C03_038E","Percent with a disability!!Estimate!!PERCENT IMPUTED!!Hearing difficulty"
"S1810_C03_038M","Percent with a disability!!Margin of Error!!PERCENT IMPUTED!!Hearing difficulty"
"S1810_C01_039E","Total!!Estimate!!PERCENT IMPUTED!!Vision difficulty"
"S1810_C01_039M","Total!!Margin of Error!!PERCENT IMPUTED!!Vision difficulty"
"S1810_C02_039E","With a disability!!Estimate!!PERCENT IMPUTED!!Vision difficulty"
"S1810_C02_039M","With a disability!!Margin of Error!!PERCENT IMPUTED!!Vision difficulty"
"S1810_C03_039E","Percent with a disability!!Estimate!!PERCENT IMPUTED!!Vision difficulty"
"S1810_C03_039M","Percent with a disability!!Margin of Error!!PERCENT IMPUTED!!Vision difficulty"
"S1810_C01_040E","Total!!Estimate!!PERCENT IMPUTED!!Cognitive difficulty"
"S1810_C01_040M","Total!!Margin of Error!!PERCENT IMPUTED!!Cognitive difficulty"
"S1810_C02_040E","With a disability!!Estimate!!PERCENT IMPUTED!!Cognitive difficulty"
"S1810_C02_040M","With a disability!!Margin of Error!!PERCENT IMPUTED!!Cognitive difficulty"
"S1810_C03_040E","Percent with a disability!!Estimate!!PERCENT IMPUTED!!Cognitive difficulty"
"S1810_C03_040M","Percent with a disability!!Margin of Error!!PERCENT IMPUTED!!Cognitive difficulty"
"S1810_C01_041E","Total!!Estimate!!PERCENT IMPUTED!!Ambulatory difficulty"
"S1810_C01_041M","Total!!Margin of Error!!PERCENT IMPUTED!!Ambulatory difficulty"
"S1810_C02_041E","With a disability!!Estimate!!PERCENT IMPUTED!!Ambulatory difficulty"
"S1810_C02_041M","With a disability!!Margin of Error!!PERCENT IMPUTED!!Ambulatory difficulty"
"S1810_C03_041E","Percent with a disability!!Estimate!!PERCENT IMPUTED!!Ambulatory difficulty"
"S1810_C03_041M","Percent with a disability!!Margin of Error!!PERCENT IMPUTED!!Ambulatory difficulty"
"S1810_C01_042E","Total!!Estimate!!PERCENT IMPUTED!!Self-care difficulty"
"S1810_C01_042M","Total!!Margin of Error!!PERCENT IMPUTED!!Self-care difficulty"
"S1810_C02_042E","With a disability!!Estimate!!PERCENT IMPUTED!!Self-care difficulty"
"S1810_C02_042M","With a disability!!Margin of Error!!PERCENT IMPUTED!!Self-care difficulty"
"S1810_C03_042E","Percent with a disability!!Estimate!!PERCENT IMPUTED!!Self-care difficulty"
"S1810_C03_042M","Percent with a disability!!Margin of Error!!PERCENT IMPUTED!!Self-care difficulty"
"S1810_C01_043E","Total!!Estimate!!PERCENT IMPUTED!!Independent living difficulty"
"S1810_C01_043M","Total!!Margin of Error!!PERCENT IMPUTED!!Independent living difficulty"
"S1810_C02_043E","With a disability!!Estimate!!PERCENT IMPUTED!!Independent living difficulty"
"S1810_C02_043M","With a disability!!Margin of Error!!PERCENT IMPUTED!!Independent living difficulty"
"S1810_C03_043E","Percent with a disability!!Estimate!!PERCENT IMPUTED!!Independent living difficulty"
"S1810_C03_043M","Percent with a disability!!Margin of Error!!PERCENT IMPUTED!!Independent living difficulty"
