county,year,oshpd_id,facility_name,city,discharges,patient_days,ed_visits,net_patient_rev,op_revenue,op_expense,medi_cal_trad,medi_cal_mc,medi_cal_total_rev,operating_margin,cost_per_discharge,cost_per_patient_day,ed_per_discharge,medi_cal_rev_share
INYO,2012,106141338,SOUTHERN INYO HEALTHCARE DISTRICT,LONE PINE,,,,,,,,,0.0,,,,,
KERN,2012,106150706,CENTRAL CALIFORNIA FOUNDATION FOR HEALTH,DELANO,528.0,,,,,,,,0.0,,,,,
KERN,2012,106150722,BAKERSFIELD MEMORIAL HOSPITAL,BAKERSFIELD,2715.0,,,,,,,,0.0,,,,,
KERN,2012,106150736,COUNTY OF KERN,BAKERSFIELD,3679.0,,,,,,,,0.0,,,,,
KERN,2012,106150761,MERCY HOSPITAL-BAKERSFIELD,BAKERSFIELD,538.0,,,,,,,,0.0,,,,,
KERN,2012,106150782,RIDGECREST REGIONAL HOSPITAL,RIDGECREST,767.0,,,,,,,,0.0,,,,,
KERN,2012,106150788,SAN JOAQUIN COMMUNITY HOSPITAL,BAKERSFIELD,,,,,,,,,0.0,,,,,
KERN,2012,106150808,TEHACHAPI VALLEY HEALTHCARE DISTRICT,TEHACHAPI,,,,,,,,,0.0,,,,,
KERN,2012,106154022,HEALTHSOUTH BAKERSFIELD REHABILITATION HOSPITAL,BAKERSFIELD,1645.0,,,,,,,,0.0,,,,,
KERN,2012,106154101,"BAKERSFIELD HEART HOSPITAL, LLC",BAKERSFIELD,,,,,,,,,0.0,,,,,
KERN,2012,106154101,"BAKERSFIELD HEART HOSPITAL, LLC",BAKERSFIELD,,,,,,,,,0.0,,,,,
KERN,2012,106154147,"CRESTWOOD BEHAVIORAL HEALTH, INC.",BAKERSFIELD,250.0,,,,,,,,0.0,,,,,
KERN,2012,106154160,"CRESTWOOD BEHAVIORAL HEALTH, INC.",BAKERSFIELD,499.0,,,,,,,,0.0,,,,,
KINGS,2012,106160787,CENTRAL VALLEY GENERAL HOSPITAL,HANFORD,1811.0,,,,,,,,0.0,,,,,
LAKE,2012,106171049,ADVENTIST HEALTH CLEARLAKE HOSPITAL,CLEARLAKE,,,,,,,,,0.0,,,,,
LAKE,2012,106171395,SUTTER WEST BAY HOSPITALS,LAKEPORT,419.0,,,,,,,,0.0,,,,,
LASSEN,2012,106184008,BANNER LASSEN COMMUNITY HOSPITAL,SUSANVILLE,,,,,,,,,0.0,,,,,
LOS ANGELES,2012,106190017,ALHAMBRA HOSPITAL MEDICAL CENTER LP,ALHAMBRA,4045.0,,,,,,,,0.0,,,,,
LOS ANGELES,2012,106190034,ANTELOPE VALLEY HOSPITAL,LANCASTER,,,,,,,,,0.0,,,,,
LOS ANGELES,2012,106190052,BARLOW RESPIRATORY HOSPITAL,LOS ANGELES,,,,,,,,,0.0,,,,,
LOS ANGELES,2012,106190053,ST. MARY MEDICAL CENTER,LONG BEACH,,,,,,,,,0.0,,,,,
LOS ANGELES,2012,106190066,BELLFLOWER MEDICAL CENTER,BELLFLOWER,4937.0,,,,,,,,0.0,,,,,
LOS ANGELES,2012,106190081,BEVERLY COMMUNITY HOSPITAL ASSOCIATION,MONTEBELLO,,,,,,,,,0.0,,,,,
LOS ANGELES,2012,106190110,BROTMAN MEDICAL CENTER,CULVER CITY,4138.0,,,,,,,,0.0,,,,,
LOS ANGELES,2012,106190110,BROTMAN MEDICAL CENTER,CULVER CITY,1050.0,,,,,,,,0.0,,,,,
LOS ANGELES,2012,106190125,CALIFORNIA HOSPITAL MEDICAL CENTER,LOS ANGELES,,,,,,,,,0.0,,,,,
LOS ANGELES,2012,106190137,CASA COLINA HOSPITAL FOR REHABILITATIVE MEDICINE,POMONA,,,,,,,,,0.0,,,,,
LOS ANGELES,2012,106190148,"PRIME HEALTHCARE CENTINELA, LLC",INGLEWOOD,4032.0,,,,,,,,0.0,,,,,
LOS ANGELES,2012,106190150,"KEDREN COMMUNITY HEALTH CENTER, INC.",LOS ANGELES,,,,,,,,,0.0,,,,,
LOS ANGELES,2012,106190163,AURORA CHARTER OAK - LOS ANGELES,COVINA,,,,,,,,,0.0,,,,,
LOS ANGELES,2012,106190170,CHILDREN'S HOSPITAL LOS ANGELES,LOS ANGELES,2725.0,,,,,,,,0.0,,,,,
LOS ANGELES,2012,106190176,CITY OF HOPE NATIONAL MEDICAL CENTER,DUARTE,2812.0,,,,,,,,0.0,,,,,
LOS ANGELES,2012,106190196,SOUTH BAY COMMUNITY HOSPITAL,GARDENA,1104.0,,,,,,,,0.0,,,,,
LOS ANGELES,2012,106190198,LOS ANGELES COMMUNITY HOSPITAL,LOS ANGELES,5873.0,,,,,,,,0.0,,,,,
LOS ANGELES,2012,106190232,"DEL AMO HOSPITAL, INC.",TORRANCE,5649.0,,,,,,,,0.0,,,,,
LOS ANGELES,2012,106190240,LAKEWOOD REGIONAL MEDICAL CENTER,LAKEWOOD,,,,,,,,,0.0,,,,,
LOS ANGELES,2012,106190243,"DOWNEY REGIONAL MEDICAL CENTER HOSPITAL, INC.",DOWNEY,25.0,,,,,,,,0.0,,,,,
LOS ANGELES,2012,106190256,EAST LOS ANGELES DOCTOR'S HOSPITAL,LOS ANGELES,81.0,,,,,,,,0.0,,,,,
LOS ANGELES,2012,106190280,"PRIME HEALTHCARE SERVICES-ENCINO, LLC",ENCINO,711.0,,,,,,,,0.0,,,,,
LOS ANGELES,2012,106190298,FOOTHILL HOSPITAL  - MORRIS L. JOHNSTON MEMORIAL,GLENDORA,2033.0,,,,,,,,0.0,,,,,
LOS ANGELES,2012,106190305,"THC ORANGE COUNTY, INC",LOS ANGELES,,,,,,,,,0.0,,,,,
LOS ANGELES,2012,106190307,"PAMC, LTC",LOS ANGELES,7722.0,,,,,,,,0.0,,,,,
LOS ANGELES,2012,106190317,GATEWAYS HOSPITAL,LOS ANGELES,978.0,,,,,,,,0.0,,,,,
LOS ANGELES,2012,106190323,GLENDALE ADVENTIST MEDICAL CENTER,GLENDALE,3083.0,,,,,,,,0.0,,,,,
LOS ANGELES,2012,106190328,"EAST VALLEY GLENDORA HOSPITAL, L.P.",GLENDORA,306.0,,,,,,,,0.0,,,,,
LOS ANGELES,2012,106190380,HOLLYWOOD COMMUNITY HOSPITAL,HOLLYWOOD,5610.0,,,,,,,,0.0,,,,,
LOS ANGELES,2012,106190382,"CHA HOLLYWOOD PRESBYTERIAN MEDICAL CENTER, LP",LOS ANGELES,,,,,,,,,0.0,,,,,
LOS ANGELES,2012,106190385,PROVIDENCE HOLY CROSS MEDICAL CENTER,MISSION HILLS,693.0,,,,,,,,0.0,,,,,
LOS ANGELES,2012,106190392,GOOD SAMARITAN HOSPITAL,LOS ANGELES,12506.0,,,,,,,,0.0,,,,,
LOS ANGELES,2012,106190400,"PASADENA HOSPITAL ASSOCIATION, LTD.",PASADENA,18419.0,,,,,,,,0.0,,,,,
LOS ANGELES,2012,106190422,TORRANCE MEMORIAL MEDICAL CENTER,TORRANCE,8562.0,,,,,,,,0.0,,,,,
LOS ANGELES,2012,106190429,KAISER FOUNDATION HOSPITALS - SUNSET,LOS ANGELES,6747.0,,,,,,,,0.0,,,,,
LOS ANGELES,2012,106190432,KAISER FOUNDATION HOSPITALS - PANORAMA,PANORAMA CITY,2951.0,,,,,,,,0.0,,,,,
LOS ANGELES,2012,106190462,AURORA LAS ENCINAS,PASADENA,,,,,,,,,0.0,,,,,
LOS ANGELES,2012,106190468,PROMISE HOSPITAL OF EAST LOS ANGELES,LOS ANGELES,852.0,,,,,,,,0.0,,,,,
LOS ANGELES,2012,106190470,PROVIDENCE LITTLE CO. OF MARY MEDICAL CENTER TORRANCE,TORRANCE,4985.0,,,,,,,,0.0,,,,,
LOS ANGELES,2012,106190475,COMMUNITY HOSPITAL LONG BEACH,LONG BEACH,,,,,,,,,0.0,,,,,
LOS ANGELES,2012,106190517,PROVIDENCE TARZANA MEDICAL CENTER,TARZANA,1004.0,,,,,,,,0.0,,,,,
LOS ANGELES,2012,106190521,MEMORIAL HOSPITAL OF GARDENA,GARDENA,,,,,,,,,0.0,,,,,
LOS ANGELES,2012,106190522,GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER,GLENDALE,,,,,,,,,0.0,,,,,
LOS ANGELES,2012,106190524,"SAN FERNANDO COMMUNITY HOSPITAL, INC",PANORAMA CITY,,,,,,,,,0.0,,,,,
LOS ANGELES,2012,106190525,LONG BEACH MEMORIAL MEDICAL CENTER,LONG BEACH,13166.0,,,,,,,,0.0,,,,,
LOS ANGELES,2012,106190529,METHODIST HOSPITAL OF SOUTHERN CALIFORNIA,ARCADIA,1291.0,,,,,,,,0.0,,,,,
LOS ANGELES,2012,106190534,OLYMPIA MEDICAL CENTER,LOS ANGELES,6034.0,,,,,,,,0.0,,,,,
LOS ANGELES,2012,106190555,CEDARS~SINAI MEDICAL CENTER,LOS ANGELES,2007.0,,,,,,,,0.0,,,,,
LOS ANGELES,2012,106190568,NORTHRIDGE HOSPITAL MEDICAL CENTER,NORTHRIDGE,1779.0,,,,,,,,0.0,,,,,
LOS ANGELES,2012,106190587,PACIFIC HOSPITAL OF LONG BEACH,LONG BEACH,7551.0,,,,,,,,0.0,,,,,
LOS ANGELES,2012,106190630,POMONA VALLEY HOSPITAL MEDICAL CENTER,POMONA,1134.0,,,,,,,,0.0,,,,,
LOS ANGELES,2012,106190631,PRESBYTERIAN INTERCOMMUNITY HOSPITAL,WHITTIER,5314.0,,,,,,,,0.0,,,,,
LOS ANGELES,2012,106190636,CITRUS VALLEY MEDICAL CENTER,WEST COVINA,11621.0,,,,,,,,0.0,,,,,
LOS ANGELES,2012,106190661,SUCCESS HEALTHCARE 1 LLC,LOS ANGELES,,,,,,,,,0.0,,,,,
LOS ANGELES,2012,106190673,"PRIME HEALTHCARE SERVICES - SAN DIMAS, LLC",SAN DIMAS,565.0,,,,,,,,0.0,,,,,
LOS ANGELES,2012,106190680,PROVIDENCE LITTLE CO. OF MARY MED CTR-SAN PEDRO,SAN PEDRO,,,,,,,,,0.0,,,,,
LOS ANGELES,2012,106190681,MIRACLE MILE MEDICAL CENTER,LOS ANGELES,,,,,,,,,0.0,,,,,
LOS ANGELES,2012,106190687,SANTA MONICA-UCLA MEDICAL CENTER AND ORTHOPAEDIC HOSPITAL,SANTA MONICA,14458.0,,,,,,,,0.0,,,,,
LOS ANGELES,2012,106190708,"PRIME HEALTHCARE SERVICES-SHERMAN OAKS, LLC",SHERMAN OAKS,4114.0,,,,,,,,0.0,,,,,
LOS ANGELES,2012,106190712,Shriners hospital for children,LOS ANGELES,,,,,,,,,0.0,,,,,
LOS ANGELES,2012,106190754,ST. FRANCIS MEDICAL CENTER,LYNWOOD,4937.0,,,,,,,,0.0,,,,,
LOS ANGELES,2012,106190756,ST JOHN'S HOSPITAL & HEALTH CENTER,SANTA MONICA,14.0,,,,,,,,0.0,,,,,
LOS ANGELES,2012,106190758,PROVIDENCE SAINT JOSEPH MEDICAL CENTER,BURBANK,94.0,,,,,,,,0.0,,,,,
LOS ANGELES,2012,106190762,ST. VINCENT MEDICAL CENTER,LOS ANGELES,,,,,,,,,0.0,,,,,
LOS ANGELES,2012,106190766,COAST PLAZA HOSPITAL,NORWALK,,,,,,,,,0.0,,,,,
LOS ANGELES,2012,106190782,"TARZANA TREATMENT CENTERS, INC.",TARZANA,,,,,,,,,0.0,,,,,
LOS ANGELES,2012,106190784,TEMPLE HOSPITAL CORPORATION,LOS ANGELES,,,,,,,,,0.0,,,,,
LOS ANGELES,2012,106190796,UNIVERSITY OF CALIFORNIA LOS ANGELES,LOS ANGELES,46818.0,,,,,,,,0.0,,,,,
LOS ANGELES,2012,106190812,VALLEY PRESBYTERIAN HOSPITAL,VAN NUYS,,,,,,,,,0.0,,,,,
LOS ANGELES,2012,106190818,VERDUGO HILLS HOSPITAL,GLENDALE,,,,,,,,,0.0,,,,,
LOS ANGELES,2012,106190854,LOS ANGELES METROPOLITAN MEDICAL CENTER,LOS ANGELES,5537.0,,,,,,,,0.0,,,,,
LOS ANGELES,2012,106190857,DOCTOR'S  HOSPITAL OF WEST COVINA,WEST COVINA,,,,,,,,,0.0,,,,,
LOS ANGELES,2012,106190859,WEST HILLS HOSPITAL,WEST HILLS,,,,,,,,,0.0,,,,,
LOS ANGELES,2012,106190878,WHITE MEMORIAL MEDICAL CENTER,LOS ANGELES,4330.0,,,,,,,,0.0,,,,,
LOS ANGELES,2012,106190883,WHITTIER  HOSPITAL MEDICAL CENTER,WHITTIER,7564.0,,,,,,,,0.0,,,,,
LOS ANGELES,2012,106190930,RESNICK NEUROPSYCHIATRIC HOSPITAL AT UCLA,LOS ANGELES,2064.0,,,,,,,,0.0,,,,,
LOS ANGELES,2012,106190958,STATE OF CALIFORNIA - DEPARTMENT OF STATE HOSPITALS,NORWALK,,,,,,,,,0.0,,,,,
LOS ANGELES,2012,106191014,LANTERMAN DEVELOPMENTAL CENTER,POMONA,,,,,,,,,0.0,,,,,
LOS ANGELES,2012,106191216,USC NORRIS CANCER HOSPITAL,LOS ANGELES,,,,,,,,,0.0,,,,,
LOS ANGELES,2012,106191225,TOM REDGATE MEMORIAL RECOVERY CENTER,LONG BEACH,791.0,,,,,,,,0.0,,,,,
LOS ANGELES,2012,106191227,LOS ANGELES COUNTY/HARBOR-UCLA MEDICAL CENTER,TORRANCE,8436.0,,,,,,,,0.0,,,,,
LOS ANGELES,2012,106191228,LOS ANGELES COUNTY + USC MEDICAL CENTER,LOS ANGELES,17293.0,,,,,,,,0.0,,,,,
LOS ANGELES,2012,106191231,LOS ANGELES COUNTY OLIVE VIEW-UCLA MEDICAL CENTER,SYLMAR,3997.0,,,,,,,,0.0,,,,,
LOS ANGELES,2012,106191300,KAISER FOUNDATION HOSPITALS - SO. CA. REGION,PASADENA,,,,,,,,,0.0,,,,,
LOS ANGELES,2012,106191306,RANCHO LOS AMIGOS NATIONAL REHABILITATION CENTER,DOWNEY,437.0,,,,,,,,0.0,,,,,
LOS ANGELES,2012,106194010,AMERICN RECOVERY CENTER,POMONA,,,,,,,,,0.0,,,,,
LOS ANGELES,2012,106194219,KECK MEDICAL HOSPITAL OF USC,LOS ANGELES,2506.0,,,,,,,,0.0,,,,,
LOS ANGELES,2012,106194967,"STAR VIEW ADOLESCENT CENTER, INC.",TORRANCE,87.0,,,,,,,,0.0,,,,,
LOS ANGELES,2012,106194981,LA CASA PSYCHIATRIC HEALTH FACILITY,LONG BEACH,,,,,,,,,0.0,,,,,
LOS ANGELES,2012,106196168,EARL & LORAINE MILLER CHILDREN'S HOSPITAL,LONG BEACH,13431.0,,,,,,,,0.0,,,,,
LOS ANGELES,2012,106196403,KAISER FOUNDATION HOSPITAL - DOWNEY,DOWNEY,1670.0,,,,,,,,0.0,,,,,
LOS ANGELES,2012,106196404,JOYCE EISENBERG KEEFER MEDICAL CENTER,RESEDA,288.0,,,,,,,,0.0,,,,,
LOS ANGELES,2012,106196405,LANCASTER HOSPITAL CORPORATION,PALMDALE,,,,,,,,,0.0,,,,,
MADERA,2012,106201281,MADERA COMMUNITY HOSPITAL,MADERA,1125.0,,,,,,,,0.0,,,,,
MADERA,2012,106204019,CHILDREN'S HOSPITAL CENTRAL CALIFORNIA,MADERA,1088.0,,,,,,,,0.0,,,,,
MARIN,2012,106210992,KAISER FOUNDATION HOSPITALS - SAN RAFAEL,SAN RAFAEL,1447.0,,,,,,,,0.0,,,,,
MARIN,2012,106211006,MARIN GENERAL HOSPITAL,GREENBRAE,3647.0,,,,,,,,0.0,,,,,
MARIN,2012,106214034,SUTTER WEST BAY HOSPITALS,NOVATO,334.0,,,,,,,,0.0,,,,,
MARIPOSA,2012,106220733,JOHN C. FREMONT HLTHCARE DIST,MARIPOSA,,,,,,,,,0.0,,,,,
MENDOCINO,2012,106230949,HOWARD MEMORIAL HOSPITAL,WILLITS,384.0,,,,,,,,0.0,,,,,
MENDOCINO,2012,106231013,MENDOCINO COAST DISTRICT HOSPITAL,FORT BRAGG,,,,,,,,,0.0,,,,,
MENDOCINO,2012,106231396,UKIAH ADVENTIST HOSPITAL,UKIAH,520.0,,,,,,,,0.0,,,,,
MERCED,2012,106240924,MEMORIAL HOSPITAL LOS BANOS,LOS BANOS,350.0,,,,,,,,0.0,,,,,
MERCED,2012,106240942,MERCY MEDICAL CENTER,MERCED,870.0,,,,,,,,0.0,,,,,
MERCED,2012,106244027,MARIE GREEN PSYCHIATRIC CNETER,MERCED,,,,,,,,,0.0,,,,,
MODOC,2012,106250956,MODOC MEDICAL CENTER,ALTURAS,,,,,,,,,0.0,,,,,
MONO,2012,106260011,SOUTHERN MONO HEALTHCARE DISTRICT,MAMMOTH LAKES,10.0,,,,,,,,0.0,,,,,
MONTEREY,2012,106270744,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,MONTEREY,84.0,,,,,,,,0.0,,,,,
MONTEREY,2012,106270777,SOUTHERN MONTEREY COUNTY MEMORIAL HOSPITAL,KING CITY,100.0,,,,,,,,0.0,,,,,
MONTEREY,2012,106270875,SALINAS VALLEY MEMORIAL HEALTHCARE SYSTEM,SALINAS,10375.0,,,,,,,,0.0,,,,,
MONTEREY,2012,106274043,NATIVIDAD MEDICAL CENTER,SALINAS,131.0,,,,,,,,0.0,,,,,
NAPA,2012,106281047,QUEEN OF THE VALLEY MEDICAL CENTER,NAPA,845.0,,,,,,,,0.0,,,,,
NAPA,2012,106281078,ST. HELENA HOSPITAL,ST. HELENA,,,,,,,,,0.0,,,,,
NAPA,2012,106281266,NAPA STATE HOSPITAL,NAPA,,,,,,,,,0.0,,,,,
NEVADA,2012,106291023,SIERRA NEVADA MEMORIAL HOSPITAL,GRASS VALLEY,,,,,,,,,0.0,,,,,
NEVADA,2012,106291053,TAHOE FOREST HOSPITAL DISTRICT,TRUCKEE,,,,,,,,,0.0,,,,,
ORANGE,2012,106300032,CHILDREN'S HOSPITAL OF ORANGE COUNTY,ORANGE,11515.0,,,,,,,,0.0,,,,,
ORANGE,2012,106300225,ORANGE COAST MEMORIAL MEDICAL CENTER,FOUNTAIN VALLEY,36760.0,,,,,,,,0.0,,,,,
ORANGE,2012,106301097,ANAHEIM GENERAL HOSPITAL,ANAHEIM,1324.0,,,,,,,,0.0,,,,,
ORANGE,2012,106301098,ANAHEIM MEMORIAL MEDICAL CENTER,ANAHEIM,13059.0,,,,,,,,0.0,,,,,
ORANGE,2012,106301127,"THC ORANGE COUNTY, INC",BREA,814.0,,,,,,,,0.0,,,,,
ORANGE,2012,106301132,KAISER FOUNDATION HOSPITALS - ANAHEIM,ANAHEIM,1457.0,,,,,,,,0.0,,,,,
ORANGE,2012,106301140,CHAPMAN MEDICAL CENTER,ORANGE,283.0,,,,,,,,0.0,,,,,
ORANGE,2012,106301155,COLLEGE HOSPITAL COSTA MESA,COSTA MESA,,,,,,,,,0.0,,,,,
ORANGE,2012,106301175,FOUNTAIN VALLEY REGIONAL HOSPITAL,FOUNTAIN VALLEY,,,,,,,,,0.0,,,,,
ORANGE,2012,106301188,WESTERN MEDICAL CENTER ANAHEIM,ANAHEIM,1137.0,,,,,,,,0.0,,,,,
ORANGE,2012,106301205,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,NEWPORT BEACH,5115.0,,,,,,,,0.0,,,,,
ORANGE,2012,106301209,PRIME HEALTHCARE HUNTINGTON BEACH LLC,HUNTINGTON BEACH,1094.0,,,,,,,,0.0,,,,,
ORANGE,2012,106301248,LOS ALAMITOS MEDICAL CENTER,LOS ALAMITOS,,,,,,,,,0.0,,,,,
ORANGE,2012,106301258,COASTAL COMMUNITIES HOSPITAL,SANTA ANA,222.0,,,,,,,,0.0,,,,,
ORANGE,2012,106301262,MISSION HOSPITAL,MISSION VIEJO,,,,,,,,,0.0,,,,,
ORANGE,2012,106301279,"THE UNIVERSITY OF CALIFORNIA, IRVINE MEDICAL CENTER",ORANGE,,,,,,,,,0.0,,,,,
ORANGE,2012,106301283,PRIME HEALTHCARE SERVICES GARDEN GROVE,GARDEN GROVE,1636.0,,,,,,,,0.0,,,,,
