Year,County,PQI,PQIDescription,Count_ICD9,Population_ICD9,ObsRate_ICD9,RiskAdjRate_ICD9,Count_ICD10,Population_ICD10,ObsRate_ICD10,RiskAdjRate_ICD10,AnnotationCode,AnnotationDesc,count,population,obs_rate,risk_adj_rate,outcome_rate,county_upper,fips5
2012,Amador,1,Diabetes Short-term Complications,13.0,32614.0,39.9,41.9,,,,,,,13.0,32614.0,39.9,41.9,41.9,AMADOR,06005
2013,Amador,1,Diabetes Short-term Complications,21.0,32252.0,65.1,68.9,,,,,,,21.0,32252.0,65.1,68.9,68.9,AMADOR,06005
2014,Amador,1,Diabetes Short-term Complications,24.0,33225.0,72.2,77.0,,,,,,,24.0,33225.0,72.2,77.0,77.0,AMADOR,06005
2015,Amador,1,Diabetes Short-term Complications,11.0,24635.0,44.7,47.1,,,,,,,11.0,24635.0,44.7,47.1,47.1,AMADOR,06005
2016,Amador,1,Diabetes Short-term Complications,,,,,17.0,31586.0,53.8,64.4,,,17.0,31586.0,53.8,64.4,64.4,AMADOR,06005
2017,Amador,1,Diabetes Short-term Complications,,,,,15.0,32677.0,45.9,54.8,,,15.0,32677.0,45.9,54.8,54.8,AMADOR,06005
2018,Amador,1,Diabetes Short-term Complications,,,,,25.0,33425.0,74.8,89.2,,,25.0,33425.0,74.8,89.2,89.2,AMADOR,06005
2019,Amador,1,Diabetes Short-term Complications,,,,,26.0,33684.0,77.2,92.4,,,26.0,33684.0,77.2,92.4,92.4,AMADOR,06005
2020,Amador,1,Diabetes Short-term Complications,,,,,18.0,34367.0,52.4,62.7,,,18.0,34367.0,52.4,62.7,62.7,AMADOR,06005
2021,Amador,1,Diabetes Short-term Complications,,,,,26.0,34879.0,74.5,89.3,,,26.0,34879.0,74.5,89.3,89.3,AMADOR,06005
2022,Amador,1,Diabetes Short-term Complications,,,,,31.0,35068.0,88.4,106.1,,,31.0,35068.0,88.4,106.1,106.1,AMADOR,06005
2023,Amador,1,Diabetes Short-term Complications,,,,,44.0,35299.0,124.6,143.6,,,44.0,35299.0,124.6,143.6,143.6,AMADOR,06005
2024,Amador,1,Diabetes Short-term Complications,,,,,30.0,35459.0,84.6,102.6,,,30.0,35459.0,84.6,102.6,102.6,AMADOR,06005
2005,Butte,1,Diabetes Short-term Complications,130.0,165310.0,78.6,76.3,,,,,,,130.0,165310.0,78.6,76.3,76.3,BUTTE,06007
2006,Butte,1,Diabetes Short-term Complications,126.0,167351.0,75.3,73.1,,,,,,,126.0,167351.0,75.3,73.1,73.1,BUTTE,06007
2007,Butte,1,Diabetes Short-term Complications,140.0,168208.0,83.2,81.2,,,,,,,140.0,168208.0,83.2,81.2,81.2,BUTTE,06007
2008,Butte,1,Diabetes Short-term Complications,150.0,169793.0,88.3,86.4,,,,,,,150.0,169793.0,88.3,86.4,86.4,BUTTE,06007
2009,Butte,1,Diabetes Short-term Complications,115.0,170726.0,67.4,66.1,,,,,,,115.0,170726.0,67.4,66.1,66.1,BUTTE,06007
2010,Butte,1,Diabetes Short-term Complications,143.0,171576.0,83.3,82.1,,,,,,,143.0,171576.0,83.3,82.1,82.1,BUTTE,06007
2011,Butte,1,Diabetes Short-term Complications,148.0,172643.0,85.7,84.0,,,,,,,148.0,172643.0,85.7,84.0,84.0,BUTTE,06007
2012,Butte,1,Diabetes Short-term Complications,170.0,169573.0,100.3,99.7,,,,,,,170.0,169573.0,100.3,99.7,99.7,BUTTE,06007
2013,Butte,1,Diabetes Short-term Complications,167.0,170817.0,97.8,97.3,,,,,,,167.0,170817.0,97.8,97.3,97.3,BUTTE,06007
2014,Butte,1,Diabetes Short-term Complications,183.0,175975.0,104.0,102.9,,,,,,,183.0,175975.0,104.0,102.9,102.9,BUTTE,06007
2015,Butte,1,Diabetes Short-term Complications,116.0,128928.0,90.0,90.2,,,,,,,116.0,128928.0,90.0,90.2,90.2,BUTTE,06007
2016,Butte,1,Diabetes Short-term Complications,,,,,201.0,180760.0,111.2,90.5,,,201.0,180760.0,111.2,90.5,90.5,BUTTE,06007
2017,Butte,1,Diabetes Short-term Complications,,,,,167.0,182932.0,91.3,74.4,,,167.0,182932.0,91.3,74.4,74.4,BUTTE,06007
2018,Butte,1,Diabetes Short-term Complications,,,,,174.0,184337.0,94.4,77.1,,,174.0,184337.0,94.4,77.1,77.1,BUTTE,06007
2019,Butte,1,Diabetes Short-term Complications,,,,,183.0,174575.0,104.8,85.4,,,183.0,174575.0,104.8,85.4,85.4,BUTTE,06007
2020,Butte,1,Diabetes Short-term Complications,,,,,172.0,167698.0,102.6,83.2,,,172.0,167698.0,102.6,83.2,83.2,BUTTE,06007
2021,Butte,1,Diabetes Short-term Complications,,,,,174.0,164365.0,105.9,86.2,,,174.0,164365.0,105.9,86.2,86.2,BUTTE,06007
2022,Butte,1,Diabetes Short-term Complications,,,,,198.0,165784.0,119.4,97.0,,,198.0,165784.0,119.4,97.0,97.0,BUTTE,06007
2023,Butte,1,Diabetes Short-term Complications,,,,,200.0,164973.0,121.2,94.6,,,200.0,164973.0,121.2,94.6,94.6,BUTTE,06007
2024,Butte,1,Diabetes Short-term Complications,,,,,220.0,166368.0,132.2,104.6,,,220.0,166368.0,132.2,104.6,104.6,BUTTE,06007
2005,Calaveras,1,Diabetes Short-term Complications,10.0,35913.0,27.8,29.6,,,,,,,10.0,35913.0,27.8,29.6,29.6,CALAVERAS,06009
2006,Calaveras,1,Diabetes Short-term Complications,14.0,36599.0,38.3,40.7,,,,,,,14.0,36599.0,38.3,40.7,40.7,CALAVERAS,06009
2007,Calaveras,1,Diabetes Short-term Complications,37.0,36944.0,100.2,107.2,,,,,,,37.0,36944.0,100.2,107.2,107.2,CALAVERAS,06009
2008,Calaveras,1,Diabetes Short-term Complications,30.0,37092.0,80.9,87.0,,,,,,,30.0,37092.0,80.9,87.0,87.0,CALAVERAS,06009
2009,Calaveras,1,Diabetes Short-term Complications,47.0,36875.0,127.5,138.0,,,,,,,47.0,36875.0,127.5,138.0,138.0,CALAVERAS,06009
2010,Calaveras,1,Diabetes Short-term Complications,40.0,36801.0,108.7,118.2,,,,,,,40.0,36801.0,108.7,118.2,118.2,CALAVERAS,06009
2011,Calaveras,1,Diabetes Short-term Complications,27.0,36652.0,73.7,80.5,,,,,,,27.0,36652.0,73.7,80.5,80.5,CALAVERAS,06009
2012,Calaveras,1,Diabetes Short-term Complications,24.0,37597.0,63.8,68.8,,,,,,,24.0,37597.0,63.8,68.8,68.8,CALAVERAS,06009
2013,Calaveras,1,Diabetes Short-term Complications,22.0,37646.0,58.4,63.3,,,,,,,22.0,37646.0,58.4,63.3,63.3,CALAVERAS,06009
2014,Calaveras,1,Diabetes Short-term Complications,25.0,38886.0,64.3,69.9,,,,,,,25.0,38886.0,64.3,69.9,69.9,CALAVERAS,06009
2015,Calaveras,1,Diabetes Short-term Complications,25.0,28698.0,87.1,94.4,,,,,,,25.0,28698.0,87.1,94.4,94.4,CALAVERAS,06009
2016,Calaveras,1,Diabetes Short-term Complications,,,,,18.0,37568.0,47.9,51.9,,,18.0,37568.0,47.9,51.9,51.9,CALAVERAS,06009
2017,Calaveras,1,Diabetes Short-term Complications,,,,,34.0,37872.0,89.8,97.5,,,34.0,37872.0,89.8,97.5,97.5,CALAVERAS,06009
2018,Calaveras,1,Diabetes Short-term Complications,,,,,20.0,37987.0,52.6,57.4,,,20.0,37987.0,52.6,57.4,57.4,CALAVERAS,06009
2019,Calaveras,1,Diabetes Short-term Complications,,,,,19.0,38289.0,49.6,54.3,,,19.0,38289.0,49.6,54.3,54.3,CALAVERAS,06009
2020,Calaveras,1,Diabetes Short-term Complications,,,,,24.0,37673.0,63.7,69.5,,,24.0,37673.0,63.7,69.5,69.5,CALAVERAS,06009
2021,Calaveras,1,Diabetes Short-term Complications,,,,,18.0,38312.0,47.0,51.3,,,18.0,38312.0,47.0,51.3,51.3,CALAVERAS,06009
2022,Calaveras,1,Diabetes Short-term Complications,,,,,24.0,38508.0,62.3,68.2,,,24.0,38508.0,62.3,68.2,68.2,CALAVERAS,06009
2023,Calaveras,1,Diabetes Short-term Complications,,,,,16.0,38409.0,41.7,40.6,,,16.0,38409.0,41.7,40.6,40.6,CALAVERAS,06009
2024,Calaveras,1,Diabetes Short-term Complications,,,,,18.0,38377.0,46.9,50.2,,,18.0,38377.0,46.9,50.2,50.2,CALAVERAS,06009
2005,Colusa,1,Diabetes Short-term Complications,5.0,14456.0,34.6,33.8,,,,,,,5.0,14456.0,34.6,33.8,33.8,COLUSA,06011
2006,Colusa,1,Diabetes Short-term Complications,2.0,14677.0,13.6,13.3,,,,,,,2.0,14677.0,13.6,13.3,13.3,COLUSA,06011
2007,Colusa,1,Diabetes Short-term Complications,4.0,14837.0,27.0,26.4,,,,,,,4.0,14837.0,27.0,26.4,26.4,COLUSA,06011
2008,Colusa,1,Diabetes Short-term Complications,9.0,14891.0,60.4,59.5,,,,,,,9.0,14891.0,60.4,59.5,59.5,COLUSA,06011
2009,Colusa,1,Diabetes Short-term Complications,4.0,14960.0,26.7,26.3,,,,,,,4.0,14960.0,26.7,26.3,26.3,COLUSA,06011
2010,Colusa,1,Diabetes Short-term Complications,8.0,15117.0,52.9,52.1,,,,,,,8.0,15117.0,52.9,52.1,52.1,COLUSA,06011
2011,Colusa,1,Diabetes Short-term Complications,14.0,15206.0,92.1,91.0,,,,,,,14.0,15206.0,92.1,91.0,91.0,COLUSA,06011
2012,Colusa,1,Diabetes Short-term Complications,7.0,16676.0,42.0,39.5,,,,,,,7.0,16676.0,42.0,39.5,39.5,COLUSA,06011
2013,Colusa,1,Diabetes Short-term Complications,5.0,16775.0,29.8,28.1,,,,,,,5.0,16775.0,29.8,28.1,28.1,COLUSA,06011
2014,Colusa,1,Diabetes Short-term Complications,6.0,16640.0,36.1,34.9,,,,,,,6.0,16640.0,36.1,34.9,34.9,COLUSA,06011
2015,Colusa,1,Diabetes Short-term Complications,2.0,13258.0,15.1,14.0,,,,,,,2.0,13258.0,15.1,14.0,14.0,COLUSA,06011
2016,Colusa,1,Diabetes Short-term Complications,,,,,10.0,15519.0,64.4,73.3,,,10.0,15519.0,64.4,73.3,73.3,COLUSA,06011
2017,Colusa,1,Diabetes Short-term Complications,,,,,6.0,15549.0,38.6,43.9,,,6.0,15549.0,38.6,43.9,43.9,COLUSA,06011
2018,Colusa,1,Diabetes Short-term Complications,,,,,6.0,15514.0,38.7,44.1,,,6.0,15514.0,38.7,44.1,44.1,COLUSA,06011
2019,Colusa,1,Diabetes Short-term Complications,,,,,3.0,15645.0,19.2,21.9,,,3.0,15645.0,19.2,21.9,21.9,COLUSA,06011
2020,Colusa,1,Diabetes Short-term Complications,,,,,8.0,15973.0,50.1,57.2,,,8.0,15973.0,50.1,57.2,57.2,COLUSA,06011
2021,Colusa,1,Diabetes Short-term Complications,,,,,17.0,16109.0,105.5,120.6,,,17.0,16109.0,105.5,120.6,120.6,COLUSA,06011
2022,Colusa,1,Diabetes Short-term Complications,,,,,7.0,16137.0,43.4,49.7,,,7.0,16137.0,43.4,49.7,49.7,COLUSA,06011
2023,Colusa,1,Diabetes Short-term Complications,,,,,9.0,16122.0,55.8,55.3,,,9.0,16122.0,55.8,55.3,55.3,COLUSA,06011
2024,Colusa,1,Diabetes Short-term Complications,,,,,10.0,16228.0,61.6,64.7,,,10.0,16228.0,61.6,64.7,64.7,COLUSA,06011
2005,Contra Costa,1,Diabetes Short-term Complications,319.0,744835.0,42.8,42.4,,,,,,,319.0,744835.0,42.8,42.4,42.4,CONTRA COSTA,06013
2006,Contra Costa,1,Diabetes Short-term Complications,336.0,747747.0,44.9,44.5,,,,,,,336.0,747747.0,44.9,44.5,44.5,CONTRA COSTA,06013
2007,Contra Costa,1,Diabetes Short-term Complications,346.0,755752.0,45.8,45.5,,,,,,,346.0,755752.0,45.8,45.5,45.5,CONTRA COSTA,06013
2008,Contra Costa,1,Diabetes Short-term Complications,373.0,767612.0,48.6,48.4,,,,,,,373.0,767612.0,48.6,48.4,48.4,CONTRA COSTA,06013
2009,Contra Costa,1,Diabetes Short-term Complications,393.0,780970.0,50.3,50.2,,,,,,,393.0,780970.0,50.3,50.2,50.2,CONTRA COSTA,06013
2010,Contra Costa,1,Diabetes Short-term Complications,380.0,793960.0,47.9,47.9,,,,,,,380.0,793960.0,47.9,47.9,47.9,CONTRA COSTA,06013
2011,Contra Costa,1,Diabetes Short-term Complications,388.0,808054.0,48.0,48.2,,,,,,,388.0,808054.0,48.0,48.2,48.2,CONTRA COSTA,06013
2012,Contra Costa,1,Diabetes Short-term Complications,468.0,793369.0,59.0,60.5,,,,,,,468.0,793369.0,59.0,60.5,60.5,CONTRA COSTA,06013
2013,Contra Costa,1,Diabetes Short-term Complications,426.0,808882.0,52.7,54.1,,,,,,,426.0,808882.0,52.7,54.1,54.1,CONTRA COSTA,06013
2014,Contra Costa,1,Diabetes Short-term Complications,422.0,818959.0,51.5,52.4,,,,,,,422.0,818959.0,51.5,52.4,52.4,CONTRA COSTA,06013
2015,Contra Costa,1,Diabetes Short-term Complications,324.0,620275.0,52.2,54.4,,,,,,,324.0,620275.0,52.2,54.4,54.4,CONTRA COSTA,06013
2016,Contra Costa,1,Diabetes Short-term Complications,,,,,418.0,874355.0,47.8,67.0,,,418.0,874355.0,47.8,67.0,67.0,CONTRA COSTA,06013
2017,Contra Costa,1,Diabetes Short-term Complications,,,,,409.0,883122.0,46.3,65.0,,,409.0,883122.0,46.3,65.0,65.0,CONTRA COSTA,06013
2018,Contra Costa,1,Diabetes Short-term Complications,,,,,453.0,890018.0,50.9,71.6,,,453.0,890018.0,50.9,71.6,71.6,CONTRA COSTA,06013
2019,Contra Costa,1,Diabetes Short-term Complications,,,,,397.0,894163.0,44.4,62.6,,,397.0,894163.0,44.4,62.6,62.6,CONTRA COSTA,06013
2020,Contra Costa,1,Diabetes Short-term Complications,,,,,409.0,906522.0,45.1,63.6,,,409.0,906522.0,45.1,63.6,63.6,CONTRA COSTA,06013
2021,Contra Costa,1,Diabetes Short-term Complications,,,,,487.0,908651.0,53.6,75.6,,,487.0,908651.0,53.6,75.6,75.6,CONTRA COSTA,06013
2022,Contra Costa,1,Diabetes Short-term Complications,,,,,484.0,906227.0,53.4,75.6,,,484.0,906227.0,53.4,75.6,75.6,CONTRA COSTA,06013
2023,Contra Costa,1,Diabetes Short-term Complications,,,,,541.0,904586.0,59.8,82.5,,,541.0,904586.0,59.8,82.5,82.5,CONTRA COSTA,06013
2024,Contra Costa,1,Diabetes Short-term Complications,,,,,593.0,921132.0,64.4,89.6,,,593.0,921132.0,64.4,89.6,89.6,CONTRA COSTA,06013
2005,Del Norte,1,Diabetes Short-term Complications,12.0,22067.0,54.4,53.4,,,,,,,12.0,22067.0,54.4,53.4,53.4,DEL NORTE,06015
2006,Del Norte,1,Diabetes Short-term Complications,24.0,22055.0,108.8,107.2,,,,,,,24.0,22055.0,108.8,107.2,107.2,DEL NORTE,06015
2007,Del Norte,1,Diabetes Short-term Complications,21.0,22315.0,94.1,92.8,,,,,,,21.0,22315.0,94.1,92.8,92.8,DEL NORTE,06015
2008,Del Norte,1,Diabetes Short-term Complications,33.0,22398.0,147.3,145.9,,,,,,,33.0,22398.0,147.3,145.9,145.9,DEL NORTE,06015
2009,Del Norte,1,Diabetes Short-term Complications,23.0,22525.0,102.1,101.3,,,,,,,23.0,22525.0,102.1,101.3,101.3,DEL NORTE,06015
2010,Del Norte,1,Diabetes Short-term Complications,58.0,22507.0,257.7,255.8,,,,,,,58.0,22507.0,257.7,255.8,255.8,DEL NORTE,06015
2011,Del Norte,1,Diabetes Short-term Complications,54.0,22606.0,238.9,237.6,,,,,,,54.0,22606.0,238.9,237.6,237.6,DEL NORTE,06015
2012,Del Norte,1,Diabetes Short-term Complications,61.0,23687.0,257.5,248.5,,,,,,,61.0,23687.0,257.5,248.5,248.5,DEL NORTE,06015
2013,Del Norte,1,Diabetes Short-term Complications,39.0,23420.0,166.5,161.4,,,,,,,39.0,23420.0,166.5,161.4,161.4,DEL NORTE,06015
2014,Del Norte,1,Diabetes Short-term Complications,21.0,23656.0,88.8,87.2,,,,,,,21.0,23656.0,88.8,87.2,87.2,DEL NORTE,06015
2015,Del Norte,1,Diabetes Short-term Complications,11.0,17650.0,62.3,60.1,,,,,,,11.0,17650.0,62.3,60.1,60.1,DEL NORTE,06015
2016,Del Norte,1,Diabetes Short-term Complications,,,,,11.0,21562.0,51.0,34.2,,,11.0,21562.0,51.0,34.2,34.2,DEL NORTE,06015
2017,Del Norte,1,Diabetes Short-term Complications,,,,,12.0,21395.0,56.1,37.8,,,12.0,21395.0,56.1,37.8,37.8,DEL NORTE,06015
2018,Del Norte,1,Diabetes Short-term Complications,,,,,13.0,21889.0,59.4,40.0,,,13.0,21889.0,59.4,40.0,40.0,DEL NORTE,06015
2019,Del Norte,1,Diabetes Short-term Complications,,,,,16.0,22021.0,72.7,49.1,,,16.0,22021.0,72.7,49.1,49.1,DEL NORTE,06015
2020,Del Norte,1,Diabetes Short-term Complications,,,,,13.0,21848.0,59.5,40.3,,,13.0,21848.0,59.5,40.3,40.3,DEL NORTE,06015
2021,Del Norte,1,Diabetes Short-term Complications,,,,,10.0,21781.0,45.9,31.2,,,10.0,21781.0,45.9,31.2,31.2,DEL NORTE,06015
2022,Del Norte,1,Diabetes Short-term Complications,,,,,12.0,21423.0,56.0,38.3,,,12.0,21423.0,56.0,38.3,38.3,DEL NORTE,06015
2023,Del Norte,1,Diabetes Short-term Complications,,,,,29.0,21034.0,137.9,96.2,,,29.0,21034.0,137.9,96.2,96.2,DEL NORTE,06015
2024,Del Norte,1,Diabetes Short-term Complications,,,,,15.0,21503.0,69.8,56.0,,,15.0,21503.0,69.8,56.0,56.0,DEL NORTE,06015
2005,El Dorado,1,Diabetes Short-term Complications,21.0,132739.0,15.8,16.0,,,,,,,21.0,132739.0,15.8,16.0,16.0,EL DORADO,06017
2006,El Dorado,1,Diabetes Short-term Complications,55.0,134458.0,40.9,41.4,,,,,,,55.0,134458.0,40.9,41.4,41.4,EL DORADO,06017
2007,El Dorado,1,Diabetes Short-term Complications,53.0,135852.0,39.0,39.7,,,,,,,53.0,135852.0,39.0,39.7,39.7,EL DORADO,06017
2008,El Dorado,1,Diabetes Short-term Complications,59.0,137534.0,42.9,43.8,,,,,,,59.0,137534.0,42.9,43.8,43.8,EL DORADO,06017
2009,El Dorado,1,Diabetes Short-term Complications,54.0,139337.0,38.8,39.8,,,,,,,54.0,139337.0,38.8,39.8,39.8,EL DORADO,06017
2010,El Dorado,1,Diabetes Short-term Complications,84.0,140597.0,59.7,61.6,,,,,,,84.0,140597.0,59.7,61.6,61.6,EL DORADO,06017
2011,El Dorado,1,Diabetes Short-term Complications,78.0,141461.0,55.1,57.1,,,,,,,78.0,141461.0,55.1,57.1,57.1,EL DORADO,06017
2012,El Dorado,1,Diabetes Short-term Complications,78.0,139213.0,56.0,59.0,,,,,,,78.0,139213.0,56.0,59.0,59.0,EL DORADO,06017
2013,El Dorado,1,Diabetes Short-term Complications,85.0,140808.0,60.4,63.9,,,,,,,85.0,140808.0,60.4,63.9,63.9,EL DORADO,06017
2014,El Dorado,1,Diabetes Short-term Complications,70.0,146643.0,47.7,50.0,,,,,,,70.0,146643.0,47.7,50.0,50.0,EL DORADO,06017
2015,El Dorado,1,Diabetes Short-term Complications,50.0,106572.0,46.9,50.4,,,,,,,50.0,106572.0,46.9,50.4,50.4,EL DORADO,06017
2016,El Dorado,1,Diabetes Short-term Complications,,,,,82.0,148231.0,55.3,67.6,,,82.0,148231.0,55.3,67.6,67.6,EL DORADO,06017
2017,El Dorado,1,Diabetes Short-term Complications,,,,,100.0,150815.0,66.3,81.4,,,100.0,150815.0,66.3,81.4,81.4,EL DORADO,06017
2018,El Dorado,1,Diabetes Short-term Complications,,,,,107.0,152985.0,69.9,86.2,,,107.0,152985.0,69.9,86.2,86.2,EL DORADO,06017
2019,El Dorado,1,Diabetes Short-term Complications,,,,,96.0,154934.0,62.0,76.7,,,96.0,154934.0,62.0,76.7,76.7,EL DORADO,06017
2020,El Dorado,1,Diabetes Short-term Complications,,,,,102.0,153507.0,66.4,82.2,,,102.0,153507.0,66.4,82.2,82.2,EL DORADO,06017
