Month of Eligibility,County,Health Delivery System,Health Plan,Total Eligibles,Annotation Code,Annotation Description,Status,Date of Data
2025-12,Fresno,Managed Care,Kaiser Permanente/Fresno,"10,893",,,P,09DEC2025
2025-12,Fresno,Managed Care,Out of County Plan,"3,898",,,P,09DEC2025
2025-12,Fresno,Managed Care,Sequoia PACE/Fresno,832,,,P,09DEC2025
2025-12,Fresno,Managed Care,Valley PACE/Fresno,132,,,P,09DEC2025
2025-12,Glenn,Fee-for-Service,Fee-for-Service,83,,,P,09DEC2025
2025-12,Glenn,Managed Care,Out of County Plan,365,,,P,09DEC2025
2025-12,Glenn,Managed Care,Partnership HealthPlan of California/Glenn,"12,901",,,P,09DEC2025
2025-12,Humboldt,Fee-for-Service,Fee-for-Service,486,,,P,09DEC2025
2025-12,Humboldt,Managed Care,"Humboldt Senior Resource Center, Inc./Humboldt",306,,,P,09DEC2025
2025-12,Humboldt,Managed Care,Out of County Plan,680,,,P,09DEC2025
2025-12,Humboldt,Managed Care,Partnership Health Plan of California/Humboldt,"54,992",,,P,09DEC2025
2025-12,Imperial,Fee-for-Service,Fee-for-Service,"1,404",,,P,09DEC2025
2025-12,Imperial,Managed Care,Community Health Plan of Imperial Valley/Imperial,"95,842",,,P,09DEC2025
2025-12,Imperial,Managed Care,Kaiser Permanente/Imperial,27,,,P,09DEC2025
2025-12,Imperial,Managed Care,Out of County Plan,658,,,P,09DEC2025
2025-12,Inyo,Fee-for-Service,Fee-for-Service,635,,,P,09DEC2025
2025-12,Inyo,Managed Care,Anthem Blue Cross Partnership Plan/Inyo,"2,584",,,P,09DEC2025
2025-12,Inyo,Managed Care,"Health Net Community Solutions, Inc/Inyo","1,842",,,P,09DEC2025
2025-12,Inyo,Managed Care,Out of County Plan,79,,,P,09DEC2025
2025-12,Kern,Fee-for-Service,Fee-for-Service,"13,896",,,P,09DEC2025
2025-12,Kern,Managed Care,Anthem Blue Cross Partnership Plan/Kern,"46,429",,,P,09DEC2025
2025-12,Kern,Managed Care,"IIH, Inc dba Bakersfield PACE/Kern",578,,,P,09DEC2025
2025-12,Kern,Managed Care,Kaiser Permanente/Kern,"23,061",,,P,09DEC2025
2025-12,Kern,Managed Care,Kern Health Systems/Kern,"395,552",,,P,09DEC2025
2025-12,Kern,Managed Care,Out of County Plan,"3,334",,,P,09DEC2025
2025-12,Kings,Fee-for-Service,Fee-for-Service,"2,597",,,P,09DEC2025
2025-12,Kings,Managed Care,Anthem Blue Cross Partnership Plan/Kings,"24,788",,,P,09DEC2025
2025-12,Kings,Managed Care,CalViva Health/Kings,"37,999",,,P,09DEC2025
2025-12,Kings,Managed Care,Family Health Care Network/Kings,,1,Cell suppressed for small numbers,P,09DEC2025
2025-12,Kings,Managed Care,Kaiser Permanente/Kings,238,,,P,09DEC2025
2025-12,Kings,Managed Care,Out of County Plan,713,,,P,09DEC2025
2025-12,Kings,Managed Care,Sequoia PACE/Kings,,1,Cell suppressed for small numbers,P,09DEC2025
2025-12,Lake,Fee-for-Service,Fee-for-Service,275,,,P,09DEC2025
2025-12,Lake,Managed Care,Out of County Plan,523,,,P,09DEC2025
2025-12,Lake,Managed Care,Partnership Health Plan of California/Lake,"32,620",,,P,09DEC2025
2025-12,Lassen,Fee-for-Service,Fee-for-Service,123,,,P,09DEC2025
2025-12,Lassen,Managed Care,Out of County Plan,323,,,P,09DEC2025
2025-12,Lassen,Managed Care,Partnership Health Plan of California/Lassen,"8,109",,,P,09DEC2025
2025-12,Los Angeles,Fee-for-Service,Fee-for-Service,"111,946",,,P,09DEC2025
2025-12,Los Angeles,Managed Care,AIDS Healthcare Foundation/Los Angeles,899,,,P,09DEC2025
2025-12,Los Angeles,Managed Care,AltaMed Health Sr. Buena Care/Los Angeles,"4,435",,,P,09DEC2025
2025-12,Los Angeles,Managed Care,Asian Heritage PACE/Los Angeles,45,,,P,09DEC2025
2025-12,Los Angeles,Managed Care,Brandman Centers for Senior Care/Los Angeles,401,,,P,09DEC2025
2025-12,Los Angeles,Managed Care,Chinatown Service Center/Los Angeles,102,,,P,09DEC2025
2025-12,Los Angeles,Managed Care,ConcertoHealth PACE of Los Angeles/Los Angeles,74,,,P,09DEC2025
2025-12,Los Angeles,Managed Care,Health Net Community Solutions/Los Angeles,"1,148,772",,,P,09DEC2025
2025-12,Los Angeles,Managed Care,K-Day PACE/Los Angeles,63,,,P,09DEC2025
2025-12,Los Angeles,Managed Care,Kaiser Permanente/Los Angeles,"331,589",,,P,09DEC2025
2025-12,Los Angeles,Managed Care,L.A. Care Health Plan/Los Angeles,"2,265,105",,,P,09DEC2025
2025-12,Los Angeles,Managed Care,LA Coast PACE/Los Angeles,779,,,P,09DEC2025
2025-12,Los Angeles,Managed Care,MyPlace Health PACE/Los Angeles,135,,,P,09DEC2025
2025-12,Los Angeles,Managed Care,Out of County Plan,"34,045",,,P,09DEC2025
2025-12,Los Angeles,Managed Care,Pacific PACE/Los Angeles,"1,214",,,P,09DEC2025
2025-12,Los Angeles,Managed Care,SCAN Health Plan/Los Angeles,"11,909",,,P,09DEC2025
2025-12,Los Angeles,Managed Care,Seen Health/Los Angeles,112,,,P,09DEC2025
2025-12,Los Angeles,Managed Care,myPlace PACE/Los Angeles,51,,,P,09DEC2025
2025-12,Madera,Fee-for-Service,Fee-for-Service,"2,561",,,P,09DEC2025
2025-12,Madera,Managed Care,Anthem Blue Cross Partnership Plan/Madera,"26,272",,,P,09DEC2025
2025-12,Madera,Managed Care,CalViva Health/Madera,"49,744",,,P,09DEC2025
2025-12,Madera,Managed Care,Kaiser Permanente/Madera,"1,809",,,P,09DEC2025
2025-12,Madera,Managed Care,Out of County Plan,940,,,P,09DEC2025
2025-12,Madera,Managed Care,Sequoia PACE/Madera,48,,,P,09DEC2025
2025-12,Marin,Fee-for-Service,Fee-for-Service,663,,,P,09DEC2025
2025-12,Marin,Managed Care,AgeWell PACE/Marin,,1,Cell suppressed for small numbers,P,09DEC2025
2025-12,Marin,Managed Care,Kaiser Permanente/Marin,"7,035",,,P,09DEC2025
2025-12,Marin,Managed Care,Out of County Plan,,2,Cell suppressed for complementary cell,P,09DEC2025
2025-12,Marin,Managed Care,Partnership Health Plan of California/Marin,"45,127",,,P,09DEC2025
2025-12,Mariposa,Fee-for-Service,Fee-for-Service,113,,,P,09DEC2025
2025-12,Mariposa,Managed Care,Central California Alliance for Health/Mariposa,"5,304",,,P,09DEC2025
2025-12,Mariposa,Managed Care,Kaiser Foundation Health Plan/Mariposa,11,,,P,09DEC2025
2025-12,Mariposa,Managed Care,Out of County Plan,170,,,P,09DEC2025
2025-12,Mendocino,Fee-for-Service,Fee-for-Service,309,,,P,09DEC2025
2025-12,Mendocino,Managed Care,Out of County Plan,771,,,P,09DEC2025
2025-12,Mendocino,Managed Care,Partnership Health Plan of California/Mendocino,"39,513",,,P,09DEC2025
2025-12,Merced,Fee-for-Service,Fee-for-Service,"1,702",,,P,09DEC2025
2025-12,Merced,Managed Care,Central California Alliance for Health/Merced,"142,500",,,P,09DEC2025
2025-12,Merced,Managed Care,Central Valley PACE/Merced,96,,,P,09DEC2025
2025-12,Merced,Managed Care,Out of County Plan,"1,480",,,P,09DEC2025
2025-12,Modoc,Fee-for-Service,Fee-for-Service,30,,,P,09DEC2025
2025-12,Modoc,Managed Care,Out of County Plan,88,,,P,09DEC2025
2025-12,Modoc,Managed Care,Partnership Health Plan of California/Modoc,"3,393",,,P,09DEC2025
2025-12,Mono,Fee-for-Service,Fee-for-Service,212,,,P,09DEC2025
2025-12,Mono,Managed Care,Anthem Blue Cross Partnership Plan/Mono,"1,953",,,P,09DEC2025
2025-12,Mono,Managed Care,"Health Net Community Solutions, Inc./Mono","1,110",,,P,09DEC2025
2025-12,Mono,Managed Care,Out of County Plan,217,,,P,09DEC2025
2025-12,Monterey,Fee-for-Service,Fee-for-Service,"1,637",,,P,09DEC2025
2025-12,Monterey,Managed Care,Central California Alliance for Health/Monterey,"182,238",,,P,09DEC2025
2025-12,Monterey,Managed Care,Out of County Plan,"1,479",,,P,09DEC2025
2025-12,Napa,Fee-for-Service,Fee-for-Service,428,,,P,09DEC2025
2025-12,Napa,Managed Care,Kaiser Permanente/Napa,"7,832",,,P,09DEC2025
2025-12,Napa,Managed Care,Out of County Plan,514,,,P,09DEC2025
2025-12,Napa,Managed Care,Partnership Health Plan of California/Napa,"26,865",,,P,09DEC2025
2025-12,Napa,Managed Care,Providence PACE/Napa,72,,,P,09DEC2025
2025-12,Nevada,Fee-for-Service,Fee-for-Service,419,,,P,09DEC2025
2025-12,Nevada,Managed Care,Out of County Plan,785,,,P,09DEC2025
2025-12,Nevada,Managed Care,Partnership HealthPlan of California/Nevada,"27,636",,,P,09DEC2025
2025-12,Orange,Fee-for-Service,Fee-for-Service,"12,629",,,P,09DEC2025
2025-12,Orange,Managed Care,AltaMed Senior Buena Care/Orange,495,,,P,09DEC2025
2025-12,Orange,Managed Care,CalOptima PACE/Orange,536,,,P,09DEC2025
2025-12,Orange,Managed Care,CalOptima/Orange,"834,103",,,P,09DEC2025
2025-12,Orange,Managed Care,Innovative Integrated Health PACE/Orange,205,,,P,09DEC2025
2025-12,Orange,Managed Care,Kaiser Permanente/Orange,"70,691",,,P,09DEC2025
2025-12,Orange,Managed Care,Out of County Plan,"9,284",,,P,09DEC2025
2025-12,Placer,Fee-for-Service,Fee-for-Service,"1,479",,,P,09DEC2025
2025-12,Placer,Managed Care,Habitat Health Sacramento/Placer,,1,Cell suppressed for small numbers,P,09DEC2025
2025-12,Placer,Managed Care,InnovAge PACE/Placer,,2,Cell suppressed for complementary cell,P,09DEC2025
2025-12,Placer,Managed Care,Kaiser Foundation Health Plan/Placer,"17,793",,,P,09DEC2025
2025-12,Placer,Managed Care,Out of County Plan,"1,317",,,P,09DEC2025
2025-12,Placer,Managed Care,Partnership HealthPlan of California/Placer,"58,305",,,P,09DEC2025
2025-12,Plumas,Fee-for-Service,Fee-for-Service,57,,,P,09DEC2025
2025-12,Plumas,Managed Care,Out of County Plan,236,,,P,09DEC2025
2025-12,Plumas,Managed Care,Partnership HealthPlan of California/Plumas,"5,195",,,P,09DEC2025
2025-12,Riverside,Fee-for-Service,Fee-for-Service,"32,354",,,P,09DEC2025
2025-12,Riverside,Managed Care,Inland Empire Health Plan/Riverside,"735,815",,,P,09DEC2025
2025-12,Riverside,Managed Care,InnovAge PACE/Riverside,263,,,P,09DEC2025
2025-12,Riverside,Managed Care,Kaiser Permanente/Riverside,"91,151",,,P,09DEC2025
2025-12,Riverside,Managed Care,Loma Linda University Health PACE/Riverside,33,,,P,09DEC2025
2025-12,Riverside,Managed Care,Molina Healthcare of California/Riverside,"94,586",,,P,09DEC2025
2025-12,Riverside,Managed Care,Neighborhood Healthcare PACE/Riverside,239,,,P,09DEC2025
2025-12,Riverside,Managed Care,Out of County Plan,"16,154",,,P,09DEC2025
2025-12,Riverside,Managed Care,SCAN Health Plan/Riverside,"4,181",,,P,09DEC2025
2025-12,Riverside,Managed Care,WelbeHealth Inland Empire/Riverside,425,,,P,09DEC2025
2025-12,STATEWIDE,STATEWIDE,STATEWIDE,"14,021,740",,Statewide Total by MOE,P,09DEC2025
2025-12,Sacramento,Fee-for-Service,Fee-for-Service,"18,359",,,P,09DEC2025
2025-12,Sacramento,Managed Care,Anthem Blue Cross/Sacramento,"244,330",,,P,09DEC2025
2025-12,Sacramento,Managed Care,Habitat Health Sacramento/Sacramento,131,,,P,09DEC2025
2025-12,Sacramento,Managed Care,Health Net Community Solutions/Sacramento,"141,915",,,P,09DEC2025
2025-12,Sacramento,Managed Care,InnovAge PACE/Sacramento,426,,,P,09DEC2025
2025-12,Sacramento,Managed Care,Kaiser Permanente/Sacramento,"134,206",,,P,09DEC2025
2025-12,Sacramento,Managed Care,Molina Healthcare of California/Sacramento,"69,068",,,P,09DEC2025
2025-12,Sacramento,Managed Care,Out of County Plan,"9,107",,,P,09DEC2025
2025-12,Sacramento,Managed Care,Sutter SeniorCare/Sacramento,500,,,P,09DEC2025
2025-12,Sacramento,Managed Care,WelbeHealth - Stockton PACE/Sacramento,59,,,P,09DEC2025
2025-12,San Benito,Fee-for-Service,Fee-for-Service,317,,,P,09DEC2025
2025-12,San Benito,Managed Care,Central California Alliance for Health/San Benito,"20,046",,,P,09DEC2025
2025-12,San Benito,Managed Care,Out of County Plan,365,,,P,09DEC2025
2025-12,San Bernardino,Fee-for-Service,Fee-for-Service,"29,762",,,P,09DEC2025
2025-12,San Bernardino,Managed Care,AltaMed PACE/San Bernardino,,1,Cell suppressed for small numbers,P,09DEC2025
2025-12,San Bernardino,Managed Care,High Desert PACE/San Bernardino,139,,,P,09DEC2025
2025-12,San Bernardino,Managed Care,Inland Empire Health Plan/San Bernardino,"702,929",,,P,09DEC2025
2025-12,San Bernardino,Managed Care,InnovAge PACE/San Bernardino,790,,,P,09DEC2025
2025-12,San Bernardino,Managed Care,Kaiser Permanente/San Bernardino,"96,207",,,P,09DEC2025
2025-12,San Bernardino,Managed Care,Loma Linda University Health PACE/San Bernardino,75,,,P,09DEC2025
2025-12,San Bernardino,Managed Care,Molina Healthcare of California/San Bernardino,"84,984",,,P,09DEC2025
2025-12,San Bernardino,Managed Care,Neighborhood Healthcare PACE/San Bernardino,102,,,P,09DEC2025
2025-12,San Bernardino,Managed Care,Out of County Plan,"12,394",,,P,09DEC2025
2025-12,San Bernardino,Managed Care,SCAN Health Plan/San Bernardino,"2,947",,,P,09DEC2025
2025-12,San Bernardino,Managed Care,WelbeHealth Inland Empire/San Bernardino,,1,Cell suppressed for small numbers,P,09DEC2025
2025-12,San Bernardino,Managed Care,WelbeHealth San Bernardino PACE/San Bernardino,53,,,P,09DEC2025
2025-12,San Diego,Fee-for-Service,Fee-for-Service,"32,540",,,P,09DEC2025
2025-12,San Diego,Managed Care,Blue Shield of California Promise/San Diego,"181,225",,,P,09DEC2025
2025-12,San Diego,Managed Care,Community Health Group/San Diego,"354,302",,,P,09DEC2025
2025-12,San Diego,Managed Care,Family Health Centers of San Diego/San Diego,395,,,P,09DEC2025
2025-12,San Diego,Managed Care,Gary and Mary West PACE of N. San Diego/San Diego,372,,,P,09DEC2025
2025-12,San Diego,Managed Care,Kaiser Permanente/San Diego,"71,138",,,P,09DEC2025
2025-12,San Diego,Managed Care,Molina Healthcare of California/San Diego,"262,499",,,P,09DEC2025
2025-12,San Diego,Managed Care,Out of County Plan,"4,948",,,P,09DEC2025
2025-12,San Diego,Managed Care,SCAN Health Plan/San Diego,"1,743",,,P,09DEC2025
2025-12,San Diego,Managed Care,San Diego PACE/San Diego,"2,742",,,P,09DEC2025
2025-12,San Diego,Managed Care,St. Paul's PACE/San Diego,"1,306",,,P,09DEC2025
2025-12,San Francisco,Fee-for-Service,Fee-for-Service,"7,854",,,P,09DEC2025
2025-12,San Francisco,Managed Care,Anthem Blue Cross/San Francisco,"36,498",,,P,09DEC2025
2025-12,San Francisco,Managed Care,Kaiser Permanente/San Francisco,"22,870",,,P,09DEC2025
2025-12,San Francisco,Managed Care,North East Medical Services PACE/San Francisco,208,,,P,09DEC2025
2025-12,San Francisco,Managed Care,ONLOK Senior Health Services/San Francisco,"1,096",,,P,09DEC2025
2025-12,San Francisco,Managed Care,Out of County Plan,"4,471",,,P,09DEC2025
2025-12,San Francisco,Managed Care,San Francisco Health Plan/San Francisco,"173,660",,,P,09DEC2025
2025-12,San Joaquin,Fee-for-Service,Fee-for-Service,"11,107",,,P,09DEC2025
2025-12,San Joaquin,Managed Care,Central PACE/San Joaquin,,2,Cell suppressed for complementary cell,P,09DEC2025
2025-12,San Joaquin,Managed Care,Health Net Community Solutions/San Joaquin,"33,675",,,P,09DEC2025
2025-12,San Joaquin,Managed Care,Health Plan of San Joaquin/San Joaquin,"228,856",,,P,09DEC2025
2025-12,San Joaquin,Managed Care,Health Plan of San Joaquin/Stanislaus,293,,,P,09DEC2025
2025-12,San Joaquin,Managed Care,InnovAge PACE/San Joaquin,,1,Cell suppressed for small numbers,P,09DEC2025
2025-12,San Joaquin,Managed Care,Kaiser Permanente/San Joaquin,"31,787",,,P,09DEC2025
2025-12,San Joaquin,Managed Care,Out of County Plan,"3,023",,,P,09DEC2025
2025-12,San Joaquin,Managed Care,Stockton PACE/San Joaquin,754,,,P,09DEC2025
2025-12,San Luis Obispo,Fee-for-Service,Fee-for-Service,644,,,P,09DEC2025
2025-12,San Luis Obispo,Managed Care,CenCal Health/San Luis Obispo,"63,297",,,P,09DEC2025
2025-12,San Luis Obispo,Managed Care,Out of County Plan,798,,,P,09DEC2025
2025-12,San Mateo,Fee-for-Service,Fee-for-Service,"2,226",,,P,09DEC2025
2025-12,San Mateo,Managed Care,Health Plan of San Mateo/San Mateo,"139,102",,,P,09DEC2025
2025-12,San Mateo,Managed Care,Kaiser Permanente/San Mateo,"18,075",,,P,09DEC2025
2025-12,San Mateo,Managed Care,Out of County Plan,"2,037",,,P,09DEC2025
2025-12,Santa Barbara,Fee-for-Service,Fee-for-Service,"1,847",,,P,09DEC2025
2025-12,Santa Barbara,Managed Care,CenCal Health/Santa Barbara,"169,099",,,P,09DEC2025
2025-12,Santa Barbara,Managed Care,Out of County Plan,"2,092",,,P,09DEC2025
2025-12,Santa Clara,Fee-for-Service,Fee-for-Service,"12,393",,,P,09DEC2025
2025-12,Santa Clara,Managed Care,Anthem Blue Cross/Santa Clara,"77,521",,,P,09DEC2025
2025-12,Santa Clara,Managed Care,Kaiser Permanente/Santa Clara,"50,178",,,P,09DEC2025
2025-12,Santa Clara,Managed Care,North East Medical Services (NEMS) PACE/Santa Clara,36,,,P,09DEC2025
2025-12,Santa Clara,Managed Care,ONLOK Lifeways/Santa Clara,506,,,P,09DEC2025
2025-12,Santa Clara,Managed Care,Out of County Plan,"4,233",,,P,09DEC2025
2025-12,Santa Clara,Managed Care,Santa Clara Family Health Plan/Santa Clara,"298,241",,,P,09DEC2025
2025-12,Santa Clara,Managed Care,WelbeHealth Bay Area PACE/Santa Clara,257,,,P,09DEC2025
2025-12,Santa Cruz,Fee-for-Service,Fee-for-Service,946,,,P,09DEC2025
2025-12,Santa Cruz,Managed Care,Central California Alliance for Health/Santa Cruz,"73,208",,,P,09DEC2025
2025-12,Santa Cruz,Managed Care,Kaiser Permanente/Santa Cruz,"1,348",,,P,09DEC2025
2025-12,Santa Cruz,Managed Care,Out of County Plan,"1,306",,,P,09DEC2025
2025-12,Shasta,Fee-for-Service,Fee-for-Service,586,,,P,09DEC2025
2025-12,Shasta,Managed Care,Out of County Plan,"1,238",,,P,09DEC2025
2025-12,Shasta,Managed Care,Partnership Health Plan of California/Shasta,"63,471",,,P,09DEC2025
2025-12,Sierra,Fee-for-Service,Fee-for-Service,,1,Cell suppressed for small numbers,P,09DEC2025
2025-12,Sierra,Managed Care,Out of County Plan,32,,,P,09DEC2025
2025-12,Sierra,Managed Care,Partnership HealthPlan of California/Sierra,713,,,P,09DEC2025
2025-12,Siskiyou,Fee-for-Service,Fee-for-Service,222,,,P,09DEC2025
2025-12,Siskiyou,Managed Care,Out of County Plan,624,,,P,09DEC2025
2025-12,Siskiyou,Managed Care,Partnership Health Plan of California/Siskiyou,"17,579",,,P,09DEC2025
2025-12,Solano,Fee-for-Service,Fee-for-Service,"2,370",,,P,09DEC2025
2025-12,Solano,Managed Care,Kaiser Permanente/Solano,"37,968",,,P,09DEC2025
2025-12,Solano,Managed Care,Out of County Plan,,2,Cell suppressed for complementary cell,P,09DEC2025
2025-12,Solano,Managed Care,Partnership Health Plan of California/Solano,"98,853",,,P,09DEC2025
2025-12,Solano,Managed Care,Providence PACE/Solano,,1,Cell suppressed for small numbers,P,09DEC2025
2025-12,Sonoma,Fee-for-Service,Fee-for-Service,"1,553",,,P,09DEC2025
2025-12,Sonoma,Managed Care,AgeWell PACE/Sonoma,131,,,P,09DEC2025
2025-12,Sonoma,Managed Care,Kaiser Permanente/Sonoma,"24,929",,,P,09DEC2025
2025-12,Sonoma,Managed Care,Out of County Plan,"1,375",,,P,09DEC2025
2025-12,Sonoma,Managed Care,Partnership Health Plan of California/Sonoma,"107,557",,,P,09DEC2025
2025-12,Stanislaus,Fee-for-Service,Fee-for-Service,"7,119",,,P,09DEC2025
2025-12,Stanislaus,Managed Care,Central PACE/Stanislaus,473,,,P,09DEC2025
2025-12,Stanislaus,Managed Care,Health Net Community Solutions/Stanislaus,"61,255",,,P,09DEC2025
2025-12,Stanislaus,Managed Care,Health Plan of San Joaquin/Stanislaus,"163,200",,,P,09DEC2025
2025-12,Stanislaus,Managed Care,Kaiser Permanente/Stanislaus,"12,119",,,P,09DEC2025
2025-12,Stanislaus,Managed Care,Out of County Plan,"3,020",,,P,09DEC2025
2025-12,Stanislaus,Managed Care,Stockton PACE/Stanislaus,415,,,P,09DEC2025
2025-12,Sutter,Fee-for-Service,Fee-for-Service,674,,,P,09DEC2025
2025-12,Sutter,Managed Care,InnovAge PACE/Sutter,,1,Cell suppressed for small numbers,P,09DEC2025
2025-12,Sutter,Managed Care,Kaiser Foundation Health Plan/Sutter,,2,Cell suppressed for complementary cell,P,09DEC2025
2025-12,Sutter,Managed Care,Out of County Plan,"1,195",,,P,09DEC2025
2025-12,Sutter,Managed Care,Partnership HealthPlan of California/Sutter,"42,996",,,P,09DEC2025
2025-12,Tehama,Fee-for-Service,Fee-for-Service,252,,,P,09DEC2025
2025-12,Tehama,Managed Care,Out of County Plan,867,,,P,09DEC2025
2025-12,Tehama,Managed Care,Partnership HealthPlan of California/Tehama,"28,219",,,P,09DEC2025
2025-12,Trinity,Fee-for-Service,Fee-for-Service,61,,,P,09DEC2025
2025-12,Trinity,Managed Care,Out of County Plan,205,,,P,09DEC2025
2025-12,Trinity,Managed Care,Partnership Health Plan of California/Trinity,"4,995",,,P,09DEC2025
2025-12,Tulare,Fee-for-Service,Fee-for-Service,"7,265",,,P,09DEC2025
2025-12,Tulare,Managed Care,Anthem Blue Cross/Tulare,"140,372",,,P,09DEC2025
2025-12,Tulare,Managed Care,Family Health Care Network/Tulare,68,,,P,09DEC2025
2025-12,Tulare,Managed Care,Health Net Community Solutions/Tulare,"134,627",,,P,09DEC2025
2025-12,Tulare,Managed Care,Kaiser Permanente/Tulare,124,,,P,09DEC2025
2025-12,Tulare,Managed Care,Out of County Plan,"2,254",,,P,09DEC2025
2025-12,Tulare,Managed Care,Sequoia PACE/Tulare,28,,,P,09DEC2025
2025-12,Tuolumne,Fee-for-Service,Fee-for-Service,728,,,P,09DEC2025
2025-12,Tuolumne,Managed Care,Anthem Blue Cross Partnership Plan/Tuolumne,"7,721",,,P,09DEC2025
2025-12,Tuolumne,Managed Care,"Health Net Community Solutions, Inc/Tuolumne","6,102",,,P,09DEC2025
2025-12,Tuolumne,Managed Care,Out of County Plan,267,,,P,09DEC2025
2025-12,Ventura,Fee-for-Service,Fee-for-Service,"2,885",,,P,09DEC2025
2025-12,Ventura,Managed Care,Gold Coast Health Plan/Ventura,"233,843",,,P,09DEC2025
2025-12,Ventura,Managed Care,Kaiser Permanente/Ventura,"9,682",,,P,09DEC2025
2025-12,Ventura,Managed Care,Out of County Plan,"2,281",,,P,09DEC2025
2025-12,Yolo,Fee-for-Service,Fee-for-Service,"1,124",,,P,09DEC2025
2025-12,Yolo,Managed Care,Kaiser Permanente/Yolo,"5,612",,,P,09DEC2025
2025-12,Yolo,Managed Care,Out of County Plan,"1,162",,,P,09DEC2025
2025-12,Yolo,Managed Care,Partnership Health Plan of California/Yolo,"50,441",,,P,09DEC2025
2025-12,Yuba,Fee-for-Service,Fee-for-Service,647,,,P,09DEC2025
